"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Speed - x (m/s)" "Speed - y (m/s)" "Speed - z (m/s)" "Speed (m/s)"
1.0 0.107 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.229 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.299 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.037 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 41.155 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.514 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.22 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.134 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 8.482 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 31.8 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 1.267 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.468 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.239 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.201 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 12.335 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 5.857 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.416 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.16 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.632 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.127 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.192 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.203 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.083 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.147 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.124 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.149 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.144 1.45 1.773 0.0 0.0 0.0 0.0 0.0
