"avg_OSD.flyTime [s]" "avg_CUSTOM.distance [m]" "avg_CALC.hSpeed [m/s]" "avg_CALC.distance [m]" avg_OSD.latitude avg_OSD.longitude "avg_OSD.height [m]" "avg_OSD.altitude [m]" "avg_OSD.xSpeed [m/s]" "avg_OSD.ySpeed [m/s]" "avg_OSD.zSpeed [m/s]" avg_OSD.pitch avg_OSD.roll avg_OSD.yaw "stdDev_OSD.flyTime [s]" "stdDev_CUSTOM.distance [m]" "stdDev_CALC.hSpeed [m/s]" "stdDev_CALC.distance [m]" stdDev_OSD.latitude stdDev_OSD.longitude "stdDev_OSD.height [m]" "stdDev_OSD.altitude [m]" "stdDev_OSD.xSpeed [m/s]" "stdDev_OSD.ySpeed [m/s]" "stdDev_OSD.zSpeed [m/s]" stdDev_OSD.pitch stdDev_OSD.roll stdDev_OSD.yaw
13.45 0.6120000000000001 0.21000000000000002 0.6120000000000001 48.048227 11.6548935 1.3900000000000001 573.49 -0.030000000000000006 0.06999999999999999 -0.7299999999999999 -0.95 1.06 -35.42999999999999 0.28722813232690153 0.006000000000000006 0.1525778489820852 0.006000000000000006 0.0 8.062257749976301e-07 0.2467792535850613 0.24677925358505293 0.045825756949558406 0.045825756949558406 0.07810249675906657 0.1746424919657298 0.5851495535331118 0.045825756949559045
14.45 0.7010000000000002 0.20400000000000001 0.7010000000000002 48.048226899999996 11.654896400000002 2.27 574.37 0.0 0.06000000000000001 -0.8400000000000001 -1.26 -0.16 -35.419999999999995 0.28722813232690153 0.036455452267116356 0.17141761869772898 0.036455452267116356 2.999999992425728e-07 6.633249579495615e-07 0.2609597670139978 0.2609597670139913 0.0 0.048989794855663564 0.04898979485566354 0.19595917942265423 0.22449944320643647 0.04000000000000057
15.45 0.692 0.132 0.692 48.048227 11.6548975 3.25 575.35 0.02 0.0 -0.8400000000000001 -0.7099999999999999 -0.45 -35.379999999999995 0.28722813232690153 0.02638181191654581 0.11452510641776326 0.02638181191654581 0.0 4.999999996257998e-07 0.2872281323269015 0.2872281323269014 0.04 0.0 0.04898979485566354 0.1972308292331602 0.17464249196572978 0.04000000000000057
16.422222222222224 0.5666666666666667 0.2622222222222222 0.5666666666666667 48.04822822222222 11.654896777777777 4.155555555555555 576.2555555555556 0.022222222222222223 -0.1 -0.8999999999999999 -0.18888888888888888 -0.2 -35.42222222222222 0.2897423291201175 0.06036923425424945 0.1262077456487057 0.06036923425424945 4.157397085919072e-07 9.162456942789435e-07 0.2543449587168799 0.2543449587168892 0.041573970964154904 0.047140452079103175 1.1102230246251565e-16 0.28065179867366863 0.23570226039551584 0.0415739709641555
17.5 0.47333333333333333 0.18666666666666668 0.47333333333333333 48.04822855555555 11.654893666666668 5.199999999999999 577.3 -0.011111111111111112 -0.1111111111111111 -0.8999999999999999 0.3777777777777777 0.6000000000000001 -35.42222222222222 0.2581988897471608 0.014907119849998594 0.06018490028422597 0.014907119849998594 4.969039937453913e-07 6.66666666957225e-07 0.2581988897471611 0.2581988897471709 0.03142696805273545 0.03142696805273545 1.1102230246251565e-16 0.22498285257018427 0.13333333333333333 0.04157397096415549
18.45 0.6409999999999999 0.265 0.6409999999999999 48.0482271 11.6548923 6.15 578.25 -0.06 -0.030000000000000006 -0.9100000000000001 -0.36 1.45 -35.41 0.2872281323269012 0.07489325737341113 0.13625344032353828 0.07489325737341113 7.000000009733347e-07 4.5825756915262385e-07 0.28722813232690136 0.28722813232691724 0.048989794855663564 0.045825756949558406 0.029999999999999995 0.332264954516723 0.3774917217635375 0.07000000000000099
19.45 0.841 0.209 0.841 48.0482254 11.654892499999999 7.18 579.28 0.0 0.01 -1.04 -1.4700000000000002 0.7299999999999999 -35.36 0.2872281323269012 0.04867237409455183 0.13931618714277247 0.04867237409455183 4.898979473197622e-07 4.999999996257998e-07 0.3249615361854383 0.32496153618544515 0.0 0.030000000000000002 0.06633249580710804 0.34073450074801637 0.2968164415931166 0.09165151389911687
20.433333333333334 0.8933333333333334 0.2211111111111111 0.8933333333333334 48.04822477777778 11.654894777777779 8.3 580.4000000000001 0.044444444444444446 0.03333333333333334 -1.088888888888889 -1.2333333333333334 0.10000000000000002 -35.411111111111104 0.2981423969999716 0.024944382578492963 0.09688990825151841 0.024944382578492963 4.157397115459155e-07 6.285393609681101e-07 0.33665016461206926 0.33665016461206704 0.049690399499995326 0.04714045207910317 0.031426968052735475 0.5011098792790969 0.2309401076758503 0.03142696805273589
21.45 0.7769999999999999 0.179 0.7769999999999999 48.048226 11.6548966 9.47 581.5699999999999 0.12000000000000002 0.0 -1.1 -0.51 -0.5999999999999999 -35.38 0.2872281323269012 0.035227829907617074 0.08466994744299773 0.035227829907617074 4.4721359437085215e-07 4.898979481899958e-07 0.34073450074801653 0.3407345007480195 0.04 0.0 0.0 0.18138357147217055 0.1341640786499874 0.04000000000000057
22.45 0.611 0.21400000000000002 0.611 48.048227499999996 11.654896099999998 10.53 582.63 0.1 -0.02 -0.66 0.06999999999999998 0.020000000000000028 -35.44 0.2872281323269012 0.06252199612936232 0.10547037498748167 0.06252199612936232 5.00000002290335e-07 7.000000000344033e-07 0.21470910553583877 0.21470910553581996 0.0 0.04 0.463033476111609 0.3661966684720111 0.3340658617698013 0.04898979485566426
