Time (s),Packet Interval (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
3,13.519,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.488,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.062,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.038,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.741,3.45,0.31,0.37,0,0,-0.36,0.36
3,18.982,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.696,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.202,3.45,0.31,0.37,0,0,-0.36,0.36
3,13.173,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.425,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.896,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.308,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.997,3.45,0.31,0.37,0,0,-0.36,0.36
3,17.679,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.427,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.053,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.77,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.321,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.499,3.45,0.31,0.37,0,0,-0.36,0.36
3,7.253,3.45,0.31,0.37,0,0,-0.36,0.36
3,14.754,3.45,0.31,0.37,0,0,-0.36,0.36
3,15.369,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.482,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.969,3.45,0.31,0.37,0,0,-0.36,0.36
3,14.246,3.45,0.31,0.37,0,0,-0.36,0.36
3,6.022,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.748,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.259,3.45,0.31,0.37,0,0,-0.36,0.36
3,33.009,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.889,3.45,0.31,0.37,0,0,-0.36,0.36
3,10.18,3.45,0.31,0.37,0,0,-0.36,0.36
3,15.702,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.065,3.45,0.31,0.37,0,0,-0.36,0.36
3,11.877,3.45,0.31,0.37,0,0,-0.36,0.36
3,29.627,3.45,0.31,0.37,0,0,-0.36,0.36
3,21.373,3.45,0.31,0.37,0,0,-0.36,0.36
3,10.232,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.64,3.45,0.31,0.37,0,0,-0.36,0.36
3,19.228,3.45,0.31,0.37,0,0,-0.36,0.36
3,2.282,3.45,0.31,0.37,0,0,-0.36,0.36
3,2.164,3.45,0.31,0.37,0,0,-0.36,0.36
3,10.318,3.45,0.31,0.37,0,0,-0.36,0.36
3,8.162,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.729,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.241,3.45,0.31,0.37,0,0,-0.36,0.36
3,16.505,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.335,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.411,3.45,0.31,0.37,0,0,-0.36,0.36
3,15.102,3.45,0.31,0.37,0,0,-0.36,0.36
3,5.304,3.45,0.31,0.37,0,0,-0.36,0.36
3,3.632,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.057,3.45,0.31,0.37,0,0,-0.36,0.36
3,22.419,3.45,0.31,0.37,0,0,-0.36,0.36
3,21.676,3.45,0.31,0.37,0,0,-0.36,0.36
3,33.581,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.353,3.45,0.31,0.37,0,0,-0.36,0.36
3,7.873,3.45,0.31,0.37,0,0,-0.36,0.36
3,10.514,3.45,0.31,0.37,0,0,-0.36,0.36
3,2.389,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.072,3.45,0.31,0.37,0,0,-0.36,0.36
3,2.313,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.475,3.45,0.31,0.37,0,0,-0.36,0.36
3,18.862,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.89,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.716,3.45,0.31,0.37,0,0,-0.36,0.36
3,18.108,3.45,0.31,0.37,0,0,-0.36,0.36
3,20.246,3.45,0.31,0.37,0,0,-0.36,0.36
3,12.96,3.45,0.31,0.37,0,0,-0.36,0.36
3,5.308,3.45,0.31,0.37,0,0,-0.36,0.36
3,14.321,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.858,3.45,0.31,0.37,0,0,-0.36,0.36
3,15.556,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.87,3.45,0.31,0.37,0,0,-0.36,0.36
3,16.112,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.581,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.051,3.45,0.31,0.37,0,0,-0.36,0.36
3,0.548,3.45,0.31,0.37,0,0,-0.36,0.36
3,5.363,3.45,0.31,0.37,0,0,-0.36,0.36
3,16.146,3.45,0.31,0.37,0,0,-0.36,0.36
3,9.946,3.45,0.31,0.37,0,0,-0.36,0.36
3,1.723,3.45,0.31,0.37,0,0,-0.36,0.36
3,6.927,3.45,0.31,0.37,0,0,-0.36,0.36
3,18.583,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.205,3.45,0.31,0.37,0,0,-0.36,0.36
3,18.174,3.45,0.31,0.37,0,0,-0.36,0.36
3,24.624,3.45,0.31,0.37,0,0,-0.36,0.36
3,24.988,3.45,0.31,0.37,0,0,-0.36,0.36
3,9.95,3.45,0.31,0.37,0,0,-0.36,0.36
3,12.305,3.45,0.31,0.37,0,0,-0.36,0.36
3,9.505,3.45,0.31,0.37,0,0,-0.36,0.36
3,9.817,3.45,0.31,0.37,0,0,-0.36,0.36
3,4.571,3.45,0.31,0.37,0,0,-0.36,0.36
