Time "Packet Inter-arrival (ms)" "Time (s)" "avg_OSD.height [m]"
10.424695 6.534 10.0 1.5
10.445653 20.958 10.0 1.5
10.466069 20.416 10.0 1.5
10.489866 23.797 10.0 1.5
10.533978 44.112 11.0 1.5
10.547825 13.847 11.0 1.5
10.573246 25.421 11.0 1.5
10.596374 23.128 11.0 1.5
10.62466 28.286 11.0 1.5
10.626123 1.463 11.0 1.5
10.636313 10.19 11.0 1.5
10.661035 24.722 11.0 1.5
10.687051 26.016 11.0 1.5
10.707384 20.333 11.0 1.5
10.728571 21.187 11.0 1.5
10.736731 8.16 11.0 1.5
10.749812 13.081 11.0 1.5
10.770633 20.821 11.0 1.5
10.803777 33.144 11.0 1.5
10.805668 1.891 11.0 1.5
10.807554 1.886 11.0 1.5
10.809314 1.76 11.0 1.5
10.813933 4.619 11.0 1.5
10.819419 5.486 11.0 1.5
10.821598 2.179 11.0 1.5
10.822902 1.304 11.0 1.5
10.866382 43.48 11.0 1.5
10.877107 10.725 11.0 1.5
10.894944 17.837 11.0 1.5
10.905143 10.199 11.0 1.5
10.932287 27.144 11.0 1.5
10.958022 25.735 11.0 1.5
10.980524 22.502 11.0 1.5
11.001388 20.864 11.0 1.5
11.021674 20.286 11.0 1.5
11.038569 16.895 11.0 1.5
11.060057 21.488 11.0 1.5
11.070738 10.681 11.0 1.5
11.093622 22.884 11.0 1.5
11.114129 20.507 11.0 1.5
11.142579 28.45 11.0 1.5
11.144398 1.819 11.0 1.5
11.144649 0.251 11.0 1.5
11.160053 15.404 11.0 1.5
11.182076 22.023 11.0 1.5
11.203175 21.099 11.0 1.5
11.223655 20.48 11.0 1.5
11.244261 20.606 11.0 1.5
11.265621 21.36 11.0 1.5
11.288491 22.87 11.0 1.5
11.312824 24.333 11.0 1.5
11.334509 21.685 11.0 1.5
11.343025 8.516 11.0 1.5
11.343098 0.073 11.0 1.5
11.343139 0.041 11.0 1.5
11.343179 0.04 11.0 1.5
11.344165 0.986 11.0 1.5
11.355203 11.038 11.0 1.5
11.384578 29.375 11.0 1.5
11.397559 12.981 11.0 1.5
11.418947 21.388 11.0 1.5
11.423512 4.565 11.0 1.5
11.439397 15.885 11.0 1.5
11.451682 12.285 11.0 1.5
11.46003 8.348 11.0 1.5
11.480399 20.369 11.0 1.5
11.5007 20.301 12.0 1.5
11.521174 20.474 12.0 1.5
11.541464 20.29 12.0 1.5
11.563721 22.257 12.0 1.5
11.59423 30.509 12.0 1.5
11.606051 11.821 12.0 1.5
11.606389 0.338 12.0 1.5
11.641093 34.704 12.0 1.5
11.651395 10.302 12.0 1.5
11.652931 1.536 12.0 1.5
11.67213 19.199 12.0 1.5
11.694103 21.973 12.0 1.5
11.714416 20.313 12.0 1.5
11.734755 20.339 12.0 1.5
11.757216 22.461 12.0 1.5
11.757815 0.599 12.0 1.5
11.777525 19.71 12.0 1.5
11.797812 20.287 12.0 1.5
11.818255 20.443 12.0 1.5
11.838687 20.432 12.0 1.5
11.858969 20.282 12.0 1.5
11.87926 20.291 12.0 1.5
11.899541 20.281 12.0 1.5
11.920155 20.614 12.0 1.5
11.940562 20.407 12.0 1.5
11.962922 22.36 12.0 1.5
11.986337 23.415 12.0 1.5
12.006627 20.29 12.0 1.5
12.033639 27.012 12.0 1.5
12.057402 23.763 12.0 1.5
12.064909 7.507 12.0 1.5
12.077711 12.802 12.0 1.5
12.097989 20.278 12.0 1.5
12.119529 21.54 12.0 1.5
12.139895 20.366 12.0 1.5
12.163595 23.7 12.0 1.5
12.164435 0.84 12.0 1.5
12.164784 0.349 12.0 1.5
12.186333 21.549 12.0 1.5
12.206629 20.296 12.0 1.5
12.227038 20.409 12.0 1.5
12.247377 20.339 12.0 1.5
12.27952 32.143 12.0 1.5
12.290769 11.249 12.0 1.5
12.312697 21.928 12.0 1.5
12.334342 21.645 12.0 1.5
12.363981 29.639 12.0 1.5
12.370108 6.127 12.0 1.5
12.370183 0.075 12.0 1.5
12.37023 0.047 12.0 1.5
12.370276 0.046 12.0 1.5
12.391183 20.907 12.0 1.5
12.411792 20.609 12.0 1.5
12.435981 24.189 12.0 1.5
12.453153 17.172 12.0 1.5
12.460307 7.154 12.0 1.5
12.471506 11.199 12.0 1.5
12.48859 17.084 12.0 1.5
12.511324 22.734 13.0 1.5
12.531672 20.348 13.0 1.5
12.557137 25.465 13.0 1.5
12.577414 20.277 13.0 1.5
12.59862 21.206 13.0 1.5
12.601174 2.554 13.0 1.5
12.618892 17.718 13.0 1.5
12.642778 23.886 13.0 1.5
12.66885 26.072 13.0 1.5
12.674912 6.062 13.0 1.5
12.689341 14.429 13.0 1.5
12.710002 20.661 13.0 1.5
12.730323 20.321 13.0 1.5
12.738613 8.29 13.0 1.5
12.752243 13.63 13.0 1.5
12.77255 20.307 13.0 1.5
12.775548 2.998 13.0 1.5
12.793184 17.636 13.0 1.5
12.813508 20.324 13.0 1.5
12.833863 20.355 13.0 1.5
12.859077 25.214 13.0 1.5
12.868295 9.218 13.0 1.5
12.881446 13.151 13.0 1.5
12.896101 14.655 13.0 1.5
12.953531 57.43 13.0 1.5
12.953781 0.25 13.0 1.5
12.95808 4.299 13.0 1.5
12.970399 12.319 13.0 1.5
12.992199 21.8 13.0 1.5
12.994987 2.788 13.0 1.5
13.016723 21.736 13.0 1.5
13.045197 28.474 13.0 1.5
13.066939 21.742 13.0 1.5
13.078757 11.818 13.0 1.5
13.098567 19.81 13.0 1.5
13.113861 15.294 13.0 1.5
13.134315 20.454 13.0 1.5
13.152929 18.614 13.0 1.5
13.15506 2.131 13.0 1.5
13.176497 21.437 13.0 1.5
13.181341 4.844 13.0 1.5
13.181411 0.07 13.0 1.5
13.196828 15.417 13.0 1.5
13.220315 23.487 13.0 1.5
13.240631 20.316 13.0 1.5
13.261057 20.426 13.0 1.5
13.281331 20.274 13.0 1.5
13.301613 20.282 13.0 1.5
13.321913 20.3 13.0 1.5
13.342188 20.275 13.0 1.5
13.363795 21.607 13.0 1.5
13.384894 21.099 13.0 1.5
13.384974 0.08 13.0 1.5
13.38502 0.046 13.0 1.5
13.385063 0.043 13.0 1.5
13.386523 1.46 13.0 1.5
13.417665 31.142 13.0 1.5
