Time,Packet Inter-arrival (ms),Time (s),avg_OSD.height [m]
1.333578,0.041,1,0
1.363904,30.326,1,0
1.365119,1.215,1,0
1.365758,0.639,1,0
1.365846,0.088,1,0
1.366642,0.796,1,0
1.383785,17.143,1,0
1.399215,15.43,1,0
1.39986,0.645,1,0
1.400027,0.167,1,0
1.400126,0.099,1,0
1.420973,20.847,1,0
1.434205,13.232,1,0
1.43471,0.505,1,0
1.434873,0.163,1,0
1.435003,0.13,1,0
1.463857,28.854,1,0
1.466408,2.551,1,0
1.466902,0.494,1,0
1.46707,0.168,1,0
1.467176,0.106,1,0
1.500688,33.512,2,0.08
1.501197,0.509,2,0.08
1.501363,0.166,2,0.08
1.501501,0.138,2,0.08
1.529416,27.915,2,0.08
1.531954,2.538,2,0.08
1.533081,1.127,2,0.08
1.533572,0.491,2,0.08
1.53374,0.168,2,0.08
1.533821,0.081,2,0.08
1.564495,30.674,2,0.08
1.565429,0.934,2,0.08
1.565932,0.503,2,0.08
1.566119,0.187,2,0.08
1.566204,0.085,2,0.08
1.599197,32.993,2,0.08
1.599918,0.721,2,0.08
1.599958,0.04,2,0.08
1.60005,0.092,2,0.08
1.600412,0.362,2,0.08
1.632427,32.015,2,0.08
1.632907,0.48,2,0.08
1.633097,0.19,2,0.08
1.633184,0.087,2,0.08
1.667221,34.037,2,0.08
1.667743,0.522,2,0.08
1.667938,0.195,2,0.08
1.668101,0.163,2,0.08
1.668234,0.133,2,0.08
1.684124,15.89,2,0.08
1.699303,15.179,2,0.08
1.699767,0.464,2,0.08
1.699961,0.194,2,0.08
1.700366,0.405,2,0.08
1.733274,32.908,2,0.08
1.73375,0.476,2,0.08
1.733929,0.179,2,0.08
1.734007,0.078,2,0.08
1.766187,32.18,2,0.08
1.770834,4.647,2,0.08
1.771312,0.478,2,0.08
1.771944,0.632,2,0.08
1.771986,0.042,2,0.08
1.804553,32.567,2,0.08
1.805058,0.505,2,0.08
1.807214,2.156,2,0.08
1.807262,0.048,2,0.08
1.807283,0.021,2,0.08
1.835876,28.593,2,0.08
1.837456,1.58,2,0.08
1.837672,0.216,2,0.08
1.837899,0.227,2,0.08
1.838616,0.717,2,0.08
1.838661,0.045,2,0.08
1.838692,0.031,2,0.08
1.847182,8.49,2,0.08
1.865934,18.752,2,0.08
1.866385,0.451,2,0.08
1.866851,0.466,2,0.08
1.867887,1.036,2,0.08
1.867992,0.105,2,0.08
1.868029,0.037,2,0.08
1.872131,4.102,2,0.08
1.899484,27.353,2,0.08
1.899966,0.482,2,0.08
1.900185,0.219,2,0.08
1.900506,0.321,2,0.08
1.900842,0.336,2,0.08
1.927059,26.217,2,0.08
1.927275,0.216,2,0.08
1.933502,6.227,2,0.08
1.933962,0.46,2,0.08
1.934125,0.163,2,0.08
1.934306,0.181,2,0.08
1.934494,0.188,2,0.08
1.935276,0.782,2,0.08
1.935323,0.047,2,0.08
1.966448,31.125,2,0.08
1.966952,0.504,2,0.08
1.967719,0.767,2,0.08
1.967765,0.046,2,0.08
1.967792,0.027,2,0.08
1.968021,0.229,2,0.08
1.96806,0.039,2,0.08
1.968129,0.069,2,0.08
2.001032,32.903,2,0.08
2.001504,0.472,2,0.08
2.001678,0.174,2,0.08
2.00222,0.542,2,0.08
2.00239,0.17,2,0.08
2.002579,0.189,2,0.08
2.002619,0.04,2,0.08
2.035029,32.41,2,0.08
2.035664,0.635,2,0.08
2.035845,0.181,2,0.08
2.036021,0.176,2,0.08
2.0362,0.179,2,0.08
