Time (s),Packet Interval (ms),avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
110,6.053,109.5264828,1.03,19.32827586,20,24.9,24
110,26.387,109.5264828,1.03,19.32827586,20,24.9,24
110,1.096,109.5264828,1.03,19.32827586,20,24.9,24
110,1.783,109.5264828,1.03,19.32827586,20,24.9,24
110,1.94,109.5264828,1.03,19.32827586,20,24.9,24
110,3.379,109.5264828,1.03,19.32827586,20,24.9,24
110,0.213,109.5264828,1.03,19.32827586,20,24.9,24
110,14.777,109.5264828,1.03,19.32827586,20,24.9,24
110,9.088,109.5264828,1.03,19.32827586,20,24.9,24
110,3.81,109.5264828,1.03,19.32827586,20,24.9,24
110,3.68,109.5264828,1.03,19.32827586,20,24.9,24
110,0.281,109.5264828,1.03,19.32827586,20,24.9,24
110,27.533,109.5264828,1.03,19.32827586,20,24.9,24
110,1.845,109.5264828,1.03,19.32827586,20,24.9,24
110,14.664,109.5264828,1.03,19.32827586,20,24.9,24
110,0.382,109.5264828,1.03,19.32827586,20,24.9,24
110,3.273,109.5264828,1.03,19.32827586,20,24.9,24
110,12.588,109.5264828,1.03,19.32827586,20,24.9,24
110,3.735,109.5264828,1.03,19.32827586,20,24.9,24
110,3.807,109.5264828,1.03,19.32827586,20,24.9,24
110,0.325,109.5264828,1.03,19.32827586,20,24.9,24
110,25.769,109.5264828,1.03,19.32827586,20,24.9,24
110,1.925,109.5264828,1.03,19.32827586,20,24.9,24
110,2.607,109.5264828,1.03,19.32827586,20,24.9,24
110,0.072,109.5264828,1.03,19.32827586,20,24.9,24
110,0.031,109.5264828,1.03,19.32827586,20,24.9,24
110,0.106,109.5264828,1.03,19.32827586,20,24.9,24
110,32.725,109.5264828,1.03,19.32827586,20,24.9,24
110,1.859,109.5264828,1.03,19.32827586,20,24.9,24
110,1.444,109.5264828,1.03,19.32827586,20,24.9,24
110,15.149,109.5264828,1.03,19.32827586,20,24.9,24
110,13.236,109.5264828,1.03,19.32827586,20,24.9,24
110,3.904,109.5264828,1.03,19.32827586,20,24.9,24
110,1.245,109.5264828,1.03,19.32827586,20,24.9,24
110,15.085,109.5264828,1.03,19.32827586,20,24.9,24
110,12.54,109.5264828,1.03,19.32827586,20,24.9,24
110,3.752,109.5264828,1.03,19.32827586,20,24.9,24
110,1.226,109.5264828,1.03,19.32827586,20,24.9,24
110,25.068,109.5264828,1.03,19.32827586,20,24.9,24
110,24.972,109.5264828,1.03,19.32827586,20,24.9,24
110,15.209,109.5264828,1.03,19.32827586,20,24.9,24
110,10.753,109.5264828,1.03,19.32827586,20,24.9,24
110,7.95,109.5264828,1.03,19.32827586,20,24.9,24
110,14.791,109.5264828,1.03,19.32827586,20,24.9,24
110,8.507,109.5264828,1.03,19.32827586,20,24.9,24
110,10.978,109.5264828,1.03,19.32827586,20,24.9,24
110,10.317,109.5264828,1.03,19.32827586,20,24.9,24
110,19.417,109.5264828,1.03,19.32827586,20,24.9,24
110,6.051,109.5264828,1.03,19.32827586,20,24.9,24
110,16.876,109.5264828,1.03,19.32827586,20,24.9,24
110,10.076,109.5264828,1.03,19.32827586,20,24.9,24
110,25.437,109.5264828,1.03,19.32827586,20,24.9,24
110,8.297,109.5264828,1.03,19.32827586,20,24.9,24
110,8.095,109.5264828,1.03,19.32827586,20,24.9,24
110,1.531,109.5264828,1.03,19.32827586,20,24.9,24
110,0.463,109.5264828,1.03,19.32827586,20,24.9,24
110,2.701,109.5264828,1.03,19.32827586,20,24.9,24
110,2.794,109.5264828,1.03,19.32827586,20,24.9,24
110,12.419,109.5264828,1.03,19.32827586,20,24.9,24
110,7.31,109.5264828,1.03,19.32827586,20,24.9,24
110,0.299,109.5264828,1.03,19.32827586,20,24.9,24
110,0.43,109.5264828,1.03,19.32827586,20,24.9,24
110,2.961,109.5264828,1.03,19.32827586,20,24.9,24
110,9.15,109.5264828,1.03,19.32827586,20,24.9,24
110,17.522,109.5264828,1.03,19.32827586,20,24.9,24
110,12.324,109.5264828,1.03,19.32827586,20,24.9,24
110,6.593,109.5264828,1.03,19.32827586,20,24.9,24
110,0.348,109.5264828,1.03,19.32827586,20,24.9,24
110,6.057,109.5264828,1.03,19.32827586,20,24.9,24
110,15.055,109.5264828,1.03,19.32827586,20,24.9,24
110,12.504,109.5264828,1.03,19.32827586,20,24.9,24
110,0.628,109.5264828,1.03,19.32827586,20,24.9,24
110,1.551,109.5264828,1.03,19.32827586,20,24.9,24
