"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)"
1.0 0.12 1.45 1.134 0.0
1.0 0.645 1.45 1.134 0.0
1.0 0.146 1.45 1.134 0.0
1.0 0.177 1.45 1.134 0.0
1.0 0.196 1.45 1.134 0.0
1.0 0.201 1.45 1.134 0.0
1.0 0.087 1.45 1.134 0.0
1.0 1.651 1.45 1.134 0.0
1.0 20.354 1.45 1.134 0.0
1.0 16.167 1.45 1.134 0.0
1.0 0.918 1.45 1.134 0.0
1.0 0.042 1.45 1.134 0.0
1.0 0.024 1.45 1.134 0.0
1.0 0.06 1.45 1.134 0.0
1.0 0.329 1.45 1.134 0.0
1.0 0.065 1.45 1.134 0.0
1.0 0.179 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.199 1.45 1.134 0.0
1.0 0.614 1.45 1.134 0.0
1.0 1.859 1.45 1.134 0.0
1.0 8.76 1.45 1.134 0.0
1.0 11.509 1.45 1.134 0.0
1.0 6.82 1.45 1.134 0.0
1.0 1.145 1.45 1.134 0.0
1.0 0.431 1.45 1.134 0.0
1.0 0.196 1.45 1.134 0.0
1.0 0.199 1.45 1.134 0.0
1.0 0.276 1.45 1.134 0.0
1.0 0.12 1.45 1.134 0.0
1.0 0.223 1.45 1.134 0.0
1.0 0.228 1.45 1.134 0.0
1.0 0.15 1.45 1.134 0.0
1.0 0.205 1.45 1.134 0.0
1.0 0.031 1.45 1.134 0.0
1.0 10.239 1.45 1.134 0.0
1.0 2.101 1.45 1.134 0.0
1.0 18.116 1.45 1.134 0.0
1.0 0.033 1.45 1.134 0.0
1.0 0.449 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.19 1.45 1.134 0.0
1.0 0.555 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.201 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.088 1.45 1.134 0.0
1.0 17.595 1.45 1.134 0.0
1.0 12.896 1.45 1.134 0.0
1.0 0.44 1.45 1.134 0.0
1.0 0.551 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.202 1.45 1.134 0.0
1.0 0.226 1.45 1.134 0.0
1.0 3.502 1.45 1.134 0.0
1.0 0.192 1.45 1.134 0.0
1.0 0.196 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.208 1.45 1.134 0.0
1.0 0.037 1.45 1.134 0.0
1.0 1.956 1.45 1.134 0.0
1.0 7.623 1.45 1.134 0.0
1.0 11.934 1.45 1.134 0.0
1.0 0.52 1.45 1.134 0.0
1.0 0.181 1.45 1.134 0.0
1.0 0.21 1.45 1.134 0.0
1.0 0.189 1.45 1.134 0.0
1.0 0.201 1.45 1.134 0.0
1.0 0.387 1.45 1.134 0.0
1.0 0.21 1.45 1.134 0.0
1.0 0.188 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.039 1.45 1.134 0.0
1.0 19.291 1.45 1.134 0.0
1.0 9.652 1.45 1.134 0.0
1.0 2.23 1.45 1.134 0.0
1.0 0.533 1.45 1.134 0.0
1.0 0.219 1.45 1.134 0.0
1.0 0.182 1.45 1.134 0.0
1.0 0.192 1.45 1.134 0.0
1.0 0.587 1.45 1.134 0.0
1.0 0.195 1.45 1.134 0.0
1.0 0.201 1.45 1.134 0.0
1.0 0.212 1.45 1.134 0.0
1.0 0.087 1.45 1.134 0.0
1.0 6.4 1.45 1.134 0.0
1.0 12.049 1.45 1.134 0.0
1.0 8.646 1.45 1.134 0.0
1.0 4.438 1.45 1.134 0.0
1.0 0.506 1.45 1.134 0.0
1.0 0.209 1.45 1.134 0.0
