"avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Time (s)" "Packet Inter-arrival (ms)"
64.45 16.219 24.65 0.0 0.529
65.45 16.689 24.7 0.0 0.199
66.45 16.66 24.73 0.0 0.205
67.45 16.656 25.68 0.0 0.19
68.45 16.752 27.57 0.0 0.558
69.45 16.924 29.64 0.0 0.19
70.45 16.992 31.65 0.0 0.083
71.45 16.982 33.51 0.0 11.26
72.45 16.967 35.51 0.0 20.215
73.45 16.989 37.6 0.0 0.045
74.45 17.03 39.63 0.0 0.49
75.45 17.056 41.64 0.0 0.197
76.45 17.076 43.46 0.0 0.203
77.45 17.08 45.22 0.0 0.201
78.45 17.089 46.8 0.0 0.611
79.45 17.11 48.21 0.0 0.192
80.45 17.169 49.17 0.0 0.031
81.45 17.198 49.4 0.0 7.3
82.45 17.194 49.4 0.0 0.06
83.45 17.229 49.4 0.0 1.412
84.45 16.699 49.37 0.0 0.133
85.45 14.428 49.33 0.0 8.27
86.45 11.96 49.27 0.0 2.888
87.45 9.512 49.2 0.0 11.311
88.45 7.28 49.2 0.0 0.536
89.45 5.706 49.2 0.0 0.188
90.45 5.324 49.2 0.0 0.198
91.45 6.333 49.2 0.0 0.189
92.45 8.197 49.22 0.0 0.579
93.45 10.425 49.2 0.0 0.202
94.45 12.842 49.21 0.0 0.206
95.45 15.359 49.28 0.0 0.031
96.45 17.26 49.3 0.0 6.824
97.45 17.32 49.3 0.0 20.309
98.45 17.241 49.3 0.0 3.91
99.45 17.271 49.25 0.0 0.518
100.45 17.293 49.24 0.0 0.241
101.45 17.253 49.3 0.0 0.177
102.45 17.265 48.94 0.0 0.179
103.4333333 17.30555556 47.96666667 0.0 0.608
104.45 17.337 46.89 0.0 0.139
105.45 17.344 45.8 0.0 0.113
106.45 17.37 44.65 0.0 6.311
107.45 17.464 43.55 0.0 8.172
108.45 17.495 42.55 0.0 17.763
109.45 17.484 41.55 0.0 0.629
110.45 17.525 40.53 0.0 0.376
111.45 17.581 39.45 0.0 0.039
112.45 17.615 38.36 0.0 0.146
113.45 17.631 37.29 0.0 0.189
114.4 17.67111111 36.26666667 0.0 0.222
115.45 17.712 35.12 0.0 0.181
116.45 17.744 34.03 0.0 0.063
117.45 17.749 32.94 0.0 1.514
118.45 17.781 31.85 0.0 5.927
119.4888889 17.79666667 30.72222222 0.0 1.341
120.45 17.815 29.66 0.0 6.252
121.45 17.836 28.56 0.0 2.037
122.3166667 17.86166667 27.63333333 0.0 4.981
123.45 17.878 26.41 0.0 0.362
124.45 17.898 25.33 0.0 8.221
125.45 17.933 24.23 0.0 0.52
126.45 17.951 23.15 0.0 0.194
127.45 17.954 22.15 0.0 0.2
128.45 17.957 21.15 0.0 0.192
129.45 17.984 20.18 0.0 0.566
130.45 17.977 19.21 0.0 0.197
131.45 17.968 18.25 0.0 0.209
132.45 17.969 17.25 0.0 0.03
133.45 17.99 16.25 0.0 9.661
134.45 17.965 15.25 0.0 20.315
135.45 17.997 14.25 0.0 1.082
136.45 17.999 13.28 0.0 0.531
137.45 17.958 12.36 0.0 0.213
138.45 17.98 11.89 0.0 0.187
139.45 18.009 11.36 0.0 0.196
140.45 17.977 10.56 0.0 0.593
141.45 17.964 10.13 0.0 0.155
142.45 17.917 10.15 0.0 0.072
143.45 17.866 10.25 0.0 14.153
144.45 17.98 10.2 0.0 3.066
145.45 18.49 10.2 0.0 10.667
146.45 19.424 10.2 0.0 3.443
147.45 20.767 10.15 0.0 0.53
148.45 21.572 9.96 0.0 0.202
149.45 21.737 10.09 0.0 0.2
150.45 21.693 10.2 0.0 0.198
151.45 20.823 10.3 0.0 0.565
152.45 18.817 10.3 0.0 0.198
153.45 16.859 10.2 0.0 0.194
154.45 15.167 10.2 0.0 0.038
155.45 13.862 10.2 0.0 4.695
156.45 13.04 10.14 0.0 4.471
157.45 12.754 10.14 0.0 9.163
158.45 13.06 10.16 0.0 6.682
159.45 13.892 10.09 0.0 3.32
160.45 15.135 10.04 0.0 3.066
161.45 16.791 10.1 0.0 0.523
162.45 18.557 10.2 0.0 0.197
163.45 20.392 10.14 0.0 0.551
164.45 21.546 10.19 0.0 0.038
165.4222222 21.38222222 10.2 0.0 0.368
166.45 21.192 10.81 0.0 0.199
167.45 21.264 12.7 0.0 0.202
168.45 21.404 14.78 0.0 0.093
169.45 21.421 16.8 0.0 11.7
170.45 21.364 18.8 0.0 3.894
171.45 21.342 20.8 0.0 15.491
172.45 21.328 22.81 0.0 0.526
173.45 21.306 24.7 0.0 0.204
174.45 21.308 25.37 0.0 0.205
175.45 20.582 25.13 0.0 0.149
176.45 18.752 25.15 0.0 0.036
177.45 17.031 25.3 1.0 0.713
178.45 15.476 25.39 1.0 0.181
179.45 14.282 25.38 1.0 0.206
180.45 13.428 25.46 1.0 0.97
181.45 13.024 25.6 1.0 5.438
182.45 13.172 25.6 1.0 12.704
183.45 13.892 25.52 1.0 18.395
184.45 15.074 25.53 1.0 0.495
185.45 16.675 25.5 1.0 0.186
186.45 18.496 25.4 1.0 0.192
187.45 20.475 25.49 1.0 0.742
188.4666667 22.55888889 25.38888889 1.0 0.173
189.45 23.36 25.28 1.0 0.167
190.45 23.346 25.42 1.0 0.156
191.45 23.298 26.99 1.0 0.191
192.45 23.286 29.0 1.0 0.195
193.45 23.292 31.0 1.0 0.228
194.45 23.288 32.82 1.0 0.123
195.45 23.321 34.86 1.0 0.001
196.45 23.326 36.96 1.0 2.85
197.45 23.292 39.07 1.0 0.421
198.45 23.25 41.1 1.0 0.647
199.45 23.236 42.95 1.0 0.664
200.45 23.129 44.66 1.0 7.241
201.45 23.096 46.24 1.0 8.576
202.45 23.063 47.7 1.0 0.668
203.45 23.034 48.89 1.0 8.829
204.45 22.976 49.39 1.0 0.511
205.45 22.1 49.4 1.0 0.198
206.45 19.811 49.43 1.0 0.189
207.45 17.509 49.4 1.0 0.597
208.45 15.453 49.4 1.0 0.164
209.45 13.807 49.38 1.0 0.218
210.45 12.7 49.38 1.0 0.129
211.45 12.206 49.4 1.0 9.488
212.45 12.415 49.4 1.0 0.202
213.45 13.268 49.4 1.0 16.494
214.45 14.659 49.4 1.0 0.516
215.45 16.305 49.35 1.0 0.204
216.45 17.075 49.31 1.0 0.29
217.45 17.234 49.27 1.0 0.12
218.45 17.236 49.24 1.0 0.645
219.45 17.194 48.45 1.0 0.146
220.45 17.164 47.55 1.0 0.177
221.45 17.148 46.65 1.0 0.196
222.45 17.15 45.65 1.0 0.201
223.45 17.176 44.65 1.0 0.087
224.45 17.206 43.65 1.0 1.651
225.45 17.227 42.65 1.0 20.354
226.45 17.239 41.65 1.0 16.167
227.45 17.256 40.71 1.0 0.918
228.45 17.259 39.72 1.0 0.042
229.45 17.261 38.75 1.0 0.024
230.45 17.255 37.75 1.0 0.06
231.45 17.276 36.79 1.0 0.329
232.45 17.278 35.85 1.0 0.065
233.45 17.27 34.85 1.0 0.179
234.45 17.301 33.85 1.0 0.198
235.45 17.315 32.85 1.0 0.198
236.45 17.327 31.85 1.0 0.199
237.45 17.337 30.88 1.0 0.614
238.45 17.321 29.95 1.0 1.859
239.45 17.34 28.95 1.0 8.76
240.5 17.33375 27.9 1.0 11.509
241.4 17.3375 27.0875 1.0 6.82
242.45 17.32 26.24 1.0 1.145
243.45 17.317 25.25 1.0 0.431
244.45 17.319 24.25 1.0 0.196
245.45 17.318 23.25 1.0 0.199
246.45 17.307 22.25 1.0 0.276
247.45 17.33 21.25 1.0 0.12
248.45 17.369 20.25 1.0 0.223
249.45 17.381 19.31 1.0 0.228
250.45 17.406 18.35 1.0 0.15
251.45 17.449 17.28 1.0 0.205
252.45 17.435 16.33 1.0 0.031
253.45 17.438 15.29 1.0 10.239
254.45 17.428 14.35 1.0 2.101
255.45 17.425 13.35 1.0 18.116
256.45 17.405 12.35 1.0 0.033
257.45 17.39 11.39 1.0 0.449
258.45 17.414 10.45 1.0 0.191
259.45 17.07 9.47 1.0 0.198
260.45 15.603 8.47 1.0 0.19
261.45 13.596 7.48 1.0 0.555
262.4777778 11.05222222 6.588888889 1.0 0.197
263.45 8.499 5.59 1.0 0.201
264.45 6.199 4.61 1.0 0.2
265.45 5.116 3.73 1.0 0.2
266.45 3.555 2.9 1.0 0.197
267.45 2.196 2.08 1.0 0.088
268.45 1.391 1.26 1.0 17.595
269.45 1.448 0.59 1.0 12.896
270.45 1.418 -0.02 1.0 0.44
271.45 1.27 -0.37 1.0 0.551
272.45 1.202 -0.4 1.0 0.197
273.45 0.701 -0.4 1.0 0.202
274.45 0.79 -0.43 1.0 0.226
275.45 0.751 -0.6 1.0 3.502
276.45 0.711 -0.6 1.0 0.192
277.45 0.7 -0.6 1.0 0.196
278.45 0.704 -0.6 1.0 0.2
279.45 0.711 -0.66 1.0 0.208
280.45 0.722 -0.7 1.0 0.037
281.45 0.823 -0.7 1.0 1.956
282.45 0.908 -0.7 1.0 7.623
283.45 1.025 -0.7 1.0 11.934
284.45 1.569 -0.7 1.0 0.52
285.45 1.633 -0.7 1.0 0.181
286.45 1.801 -0.7 1.0 0.21
287.45 2.135 -0.7 1.0 0.189
288.45 2.315 -0.7 1.0 0.201
289.45 2.411 -0.8 1.0 0.387
290.45 2.502 -1.05 1.0 0.21
