"avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Time (s)" "Packet Inter-arrival (ms)"
245.45 17.318 23.25 245.0 8.549
246.45 17.307 22.25 246.0 17.814
247.45 17.33 21.25 247.0 4.918
248.45 17.369 20.25 248.0 16.491
249.45 17.381 19.31 249.0 7.247
250.45 17.406 18.35 250.0 15.983
251.45 17.449 17.28 251.0 5.436
252.45 17.435 16.33 252.0 15.034
253.45 17.438 15.29 253.0 14.72
254.45 17.428 14.35 254.0 7.542
255.45 17.425 13.35 255.0 8.803
256.45 17.405 12.35 256.0 7.801
257.45 17.39 11.39 257.0 14.209
258.45 17.414 10.45 258.0 8.772
259.45 17.07 9.47 259.0 5.178
260.45 15.603 8.47 260.0 5.518
261.45 13.596 7.48 261.0 4.094
262.4777778 11.05222222 6.588888889 262.0 4.188
263.45 8.499 5.59 263.0 1.389
264.45 6.199 4.61 264.0 12.492
265.45 5.116 3.73 265.0 4.717
266.45 3.555 2.9 266.0 9.691
267.45 2.196 2.08 267.0 9.871
268.45 1.391 1.26 268.0 7.381
269.45 1.448 0.59 269.0 11.098
270.45 1.418 -0.02 270.0 18.768
271.45 1.27 -0.37 271.0 14.592
272.45 1.202 -0.4 272.0 5.136
273.45 0.701 -0.4 273.0 10.204
274.45 0.79 -0.43 274.0 0.185
275.45 0.751 -0.6 275.0 1.576
276.45 0.711 -0.6 276.0 0.5
277.45 0.7 -0.6 277.0 4.292
278.45 0.704 -0.6 278.0 6.769
279.45 0.711 -0.66 279.0 2.87
280.45 0.722 -0.7 280.0 12.654
281.45 0.823 -0.7 281.0 5.396
282.45 0.908 -0.7 282.0 9.641
283.45 1.025 -0.7 283.0 20.263
284.45 1.569 -0.7 284.0 14.741
285.45 1.633 -0.7 285.0 10.77
286.45 1.801 -0.7 286.0 16.907
287.45 2.135 -0.7 287.0 17.495
288.45 2.315 -0.7 288.0 11.315
289.45 2.411 -0.8 289.0 20.267
290.45 2.502 -1.05 290.0 14.435
