avg_Time(seconds) avg_TimeModified(seconds) avg_Latitude avg_Longitude avg_Altitude(feet) stdDev_Time(seconds) stdDev_TimeModified(seconds) stdDev_Latitude stdDev_Longitude stdDev_Altitude(feet)
188.45 66.25 48.0746223 11.648979446999999 8.5 0.2872281323269034 0.2872281323269014 7.350374143364448e-07 4.3504137761040765e-07 0.0
189.45 67.25 48.074623773 11.648981641999999 8.35 0.2872281323269034 0.2872281323269014 2.3740471788482343e-07 9.20367317736591e-07 0.15000000000000036
190.45 68.25 48.074625187 11.648989556 8.2 0.2872281323269034 0.2872281323269014 5.646423654069692e-07 3.694198695392098e-06 0.0
191.45 69.25 48.074627664999994 11.649005793 8.26 0.2872281323269034 0.2872281323269014 8.650924800895727e-07 5.511845516789782e-06 0.12000000000000029
192.45 70.25 48.074629302 11.649022143 8.5 0.2872281323269034 0.2872281323269014 3.6988646892596534e-07 2.3316648557178568e-06 0.0
193.45 71.25 48.07462777800001 11.649021156 8.5 0.2872281323269034 0.2872281323269014 6.413859999828433e-07 1.811116782588408e-06 0.0
194.45 72.25 48.074624551999996 11.649010065999999 8.5 0.2872281323269034 0.2872281323269014 1.0634265376409175e-06 4.490543842286035e-06 0.0
195.45 73.25 48.074620487000004 11.648991108999999 8.5 0.2872281323269034 0.2872281323269014 1.2498963966926844e-06 6.332930522341362e-06 0.0
196.45 74.25 48.074615044000005 11.648966961 8.5 0.2872281323269034 0.2872281323269014 1.8794371506592824e-06 7.459316926066893e-06 0.0
197.45 75.25 48.074607963 11.648939733999999 8.5 0.2872281323269034 0.2872281323269014 2.0788556947107827e-06 8.295851011035058e-06 0.0
198.45 76.25 48.074600455 11.648910189999999 8.5 0.2872281323269034 0.2872281323269014 2.276441302147348e-06 8.704689540835204e-06 0.0
199.45 77.25 48.074592407000004 11.648878759 8.5 0.2872281323269034 0.2872281323269014 2.308826758562031e-06 9.292269314173037e-06 0.0
200.45 78.25 48.074584114 11.648846371000001 8.5 0.2872281323269034 0.2872281323269014 2.5482629379515114e-06 9.39753526189628e-06 0.0
201.45 79.25 48.074575395 11.648814817 8.5 0.2872281323269034 0.2872281323269014 2.0695035628247368e-06 7.816689900547292e-06 0.0
202.45 80.25 48.07457157 11.648803414 8.38 0.2872281323269034 0.2872281323269014 4.6026079637460196e-07 2.5413382310849794e-07 0.14696938456699105
203.45 81.25 48.074570795 11.648805008999998 8.29 0.2872281323269034 0.2872281323269014 2.5687545711329277e-07 6.180364064690403e-07 0.13747727084867553
204.45 82.25 48.074569663000005 11.648805416 8.5 0.2872281323269034 0.2872281323269014 2.965147550825847e-07 8.260750570049036e-08 0.0
205.45 83.25 48.074569456 11.648805469 8.5 0.2872281323269034 0.2872281323269014 1.2870120289260573e-07 3.8877885753537877e-07 0.0
206.45 84.25 48.074571336999995 11.648811998 8.5 0.2872281323269034 0.2872281323269014 9.70268519627958e-07 3.5231031775359243e-06 0.0
207.45 85.25 48.07457547199999 11.648828115 8.5 0.2872281323269034 0.2872281323269014 1.4693250144605375e-06 5.602048286408478e-06 0.0
208.45 86.25 48.074580972999996 11.648850397 8.5 0.2872281323269034 0.2872281323269014 1.6157106792589673e-06 7.125006736727073e-06 0.0
209.45 87.25 48.074587154999996 11.648876820999998 8.5 0.2872281323269034 0.2872281323269014 1.8488117801492116e-06 8.154956100431467e-06 0.0
