,Time (s),Data Rate (kbps),avg_Time (s),avg_Packet Interval (ms),avg_Packet Length (bytes),stdDev_Time (s),stdDev_Packet Interval (ms),stdDev_Packet Length (bytes),avg_OSD.flyTime [s],avg_CUSTOM.hSpeed [m/s],avg_CUSTOM.distance [m],avg_CALC.hSpeed [m/s],avg_CALC.distance [m],avg_OSD.latitude,avg_OSD.longitude,avg_OSD.height [m],avg_OSD.altitude [m],avg_OSD.xSpeed [m/s],avg_OSD.ySpeed [m/s],avg_OSD.zSpeed [m/s],avg_OSD.pitch,avg_OSD.roll,avg_OSD.yaw,stdDev_OSD.flyTime [s],stdDev_CUSTOM.hSpeed [m/s],stdDev_CUSTOM.distance [m],stdDev_CALC.hSpeed [m/s],stdDev_CALC.distance [m],stdDev_OSD.latitude,stdDev_OSD.longitude,stdDev_OSD.height [m],stdDev_OSD.altitude [m],stdDev_OSD.xSpeed [m/s],stdDev_OSD.ySpeed [m/s],stdDev_OSD.zSpeed [m/s],stdDev_OSD.pitch,stdDev_OSD.roll,stdDev_OSD.yaw
avg_OSD.latitude,-0.2456673406082618,0.004598731670585149,-0.24569167577799975,0.025617757716789567,-0.02059031044366837,-0.012350694627680322,0.013841005642429018,0.019746084816007568,-0.24566322819781047,-0.07579894233158029,-0.26243156782195387,-0.06160042045618651,0.00998502210935564,1.0,0.5785892325081902,-0.023566332860842306,-0.023566332842715067,0.018550920991896914,0.114123751362337,0.057317896989341845,-0.09637368635450916,0.17477838792114175,-0.25609188555360274,-0.007558129947016725,-0.022626179019246503,-0.07581112044550073,-0.0661734869521702,-0.06851092348625276,-0.09050571957232408,-0.027402422622154702,-0.05683668809983666,-0.05683668809984315,-0.04460785916314537,-0.010147194123712563,0.04113758050544669,0.05324726851965487,-0.04638193094132961,0.1947066130411482
avg_OSD.longitude,0.15083022651322947,-0.09066338217777928,0.15081359326372573,0.058320384093462116,-0.07270891433404134,0.03004076641095531,-0.02620349748399329,0.0671106748985851,0.15084757384336125,0.09024273093081979,0.18459003484745984,0.09510668956555055,0.5540167391234335,0.5785892325081902,1.0,0.2918957506262953,0.2918957506376379,-0.09533895328338744,0.0008866654626949361,-0.07933161231957833,0.21763937537713324,0.14003453211480812,0.2698101878268994,0.06061840214196876,-0.01785900726766299,0.09562311710632335,-0.009280087337672736,-0.03095496731128012,0.06643832592321086,0.2046042728206206,0.08614410484581274,0.08614410484582338,-0.05242158469274848,0.03432776012682559,0.019586393426243843,0.002062123066773067,-0.016071790351570893,0.03913404272714934
avg_OSD.height [m],-0.03610519289562114,-0.41447386810547987,-0.03608740956587466,0.22883118035749925,-0.27673441835462387,-0.0025825239491666613,-0.03524118329398309,0.26837778653499583,-0.03609751655463302,0.018747545504294815,0.06855564163244185,-0.006923949219700369,0.5071866982993664,-0.023566332860842306,0.2918957506262953,1.0,0.9999999999999994,0.0358937804852609,-0.03576377488813178,-0.016329051711221062,0.19448095795336878,-0.2531074363400537,-0.15621065851383353,0.043731730265154777,-0.11788054763648984,0.010219963941922927,-0.08067198761189022,-0.04750309799852117,0.04189640425088045,-0.0794767306951848,0.16994808189231417,0.16994808189234015,-0.10526780523017175,-0.17809503812521008,-0.0022393689922687297,-0.20958432884845196,-0.10235513355760124,-0.1574350264718484
avg_OSD.altitude [m],-0.036105192910607216,-0.4144738680898083,-0.0360874095808572,0.22883118032480604,-0.27673441832870993,-0.0025825239549954844,-0.03524118331879863,0.26837778657331773,-0.03609751656961054,0.018747545512216197,0.06855564161869482,-0.0069239492065028265,0.5071866982994724,-0.023566332842715067,0.2918957506376379,0.9999999999999994,1.0,0.03589378047862435,-0.035763774896893634,-0.016329051720721337,0.19448095796130588,-0.2531074363258451,-0.1562106585286562,0.043731730242562994,-0.11788054762933287,0.01021996394974831,-0.08067198759988242,-0.0475030979832046,0.04189640425886454,-0.07947673069003572,0.16994808189773672,0.16994808189776234,-0.10526780522242885,-0.1780950381235607,-0.0022393689965426395,-0.20958432884571027,-0.1023551335455443,-0.15743502647457067
avg_OSD.xSpeed [m/s],0.021094132036280536,0.04513693103489308,0.02109145079162876,-0.0632608696152372,0.08502827358884157,0.13045968012279846,-0.051855161866666194,0.04043848740880642,0.021119764538390737,-0.036816420915761594,0.029704092859819918,-0.035053754144870934,-0.08752997342869513,0.018550920991896914,-0.09533895328338744,0.0358937804852609,0.03589378047862435,1.0,0.6885964558399903,0.04076650538481689,0.17049450075627606,-0.5809754192453462,-0.06868893304698215,0.11896182779193502,0.004764405477781052,-0.01475587938889798,0.02288463949997708,0.1147607416122958,0.009475922863931377,-0.07424144047574274,0.06301425544671141,0.06301425544668254,0.012574555996028181,0.10297406091245459,0.0699949279218701,0.07403161642137267,0.05931806169549256,0.04263318527684086
avg_OSD.ySpeed [m/s],-0.12386666727236932,0.06382947225101135,-0.1238852673251755,-0.06055414599932851,0.07986261048381628,0.10523882865178062,-0.033904581068445266,0.012189389798370271,-0.12385264196861931,0.005157450492125861,-0.13025548676178195,-0.020794496736796213,0.011706762505994775,0.114123751362337,0.0008866654626949361,-0.03576377488813178,-0.035763774896893634,0.6885964558399903,1.0,-0.022191582741846176,-0.09086686388011013,-0.48391408648139284,-0.10245922363932013,0.06445784300535827,0.04932234758431815,0.013442632587753595,0.11553570345762305,0.020766612032050616,-0.016450321317567535,0.07549507355420858,-0.025487882000905692,-0.025487882000920812,0.02365063609119927,0.10153679737347161,0.0250065205928023,0.041700982441547824,-0.006936891177753612,-0.028923260429377318
avg_OSD.zSpeed [m/s],0.31576401926320846,-0.2123105751303737,0.31575124690390793,0.18736610896919512,-0.20040996037688288,0.0022369293233817943,0.15090904795771998,0.009069599733337328,0.315755712866244,0.046620877916903176,0.29319638720928354,0.04084254653477216,-0.048820000476063614,0.057317896989341845,-0.07933161231957833,-0.016329051711221062,-0.016329051720721337,0.04076650538481689,-0.022191582741846176,1.0,0.04191205797618907,-0.07218635467661613,0.169627919984459,-0.007046665096052607,0.0415248148927554,0.041806121602609804,0.033987275036570355,0.051986715846900705,0.04191910120489798,0.02237043644076466,-0.4208541049435033,-0.42085410494353326,0.04298414499961193,0.08112857195883036,-0.16608548641390714,0.061562816246532745,0.05568612116401795,0.1774492541659687
avg_OSD.pitch,0.1459003726696914,-0.09914551158034422,0.14586551733842643,0.03419474821373203,-0.05462598997369258,0.07548668180675767,-0.0031496693601475796,0.08466444984139881,0.14590454477246173,0.03403657435213296,0.18013165153852895,0.030646394430059582,0.16395682200258743,-0.09637368635450916,0.21763937537713324,0.19448095795336878,0.19448095796130588,0.17049450075627606,-0.09086686388011013,0.04191205797618907,1.0,-0.12658964026331793,0.1354694418525849,0.02891063615883393,-0.11053926172315223,0.036430842006196736,-0.04262337270458874,0.08681511719481352,0.07458461626292757,-0.04874819130445256,0.07762068935072665,0.07762068935070911,-0.08904624414831303,-0.017936915834403305,0.01694442118011349,0.009617444905003101,-0.006154342533783788,0.08555501346790556
avg_OSD.roll,-0.04227009600704108,0.09378894618594122,-0.04227422280635973,-0.028025088883005093,0.041267092154879025,-0.11946758271518705,0.03472704618758258,-0.08624950365926824,-0.04229069724488619,0.0826587901001174,-0.07085446000874705,0.07699577661279965,-0.14399317782668059,0.17477838792114175,0.14003453211480812,-0.2531074363400537,-0.2531074363258451,-0.5809754192453462,-0.48391408648139284,-0.07218635467661613,-0.12658964026331793,1.0,0.05263130572231806,-0.09902415657298157,-0.05247725833669261,0.06707671111823181,0.03910151999461486,0.02196082471589519,0.05624146552749277,0.09733378433943407,-0.10135519763991124,-0.10135519763989415,-0.06473370756123757,-0.01137590533240857,-0.01925285669002668,0.09898351178527232,-0.017521448165166077,0.10629662851245648
avg_OSD.yaw,0.8708562239049741,0.10128838090799276,0.8708521469514154,-0.09672341203604334,0.11111998281208237,-0.010400504491520156,-0.07731200640704547,-0.04782528655423265,0.8708566348854253,-0.03275485525193415,0.8513744474666245,0.0134177960724768,0.2125477441732777,-0.25609188555360274,0.2698101878268994,-0.15621065851383353,-0.1562106585286562,-0.06868893304698215,-0.10245922363932013,0.169627919984459,0.1354694418525849,0.05263130572231806,1.0,0.07462736484669744,0.03157995999329828,-0.017473694183469998,-0.06861705307665149,-0.14580700927145035,-0.06178720938744995,0.1429734791060751,0.010658529774598536,0.010658529774593401,-0.006200629119750571,0.1634841186860646,-0.06378900862329216,0.12936769901964754,0.0614151034309052,0.0070859524506656476
stdDev_OSD.flyTime [s],0.09004466008971886,0.0933363806223654,0.09018163633161905,-0.059847934010201054,0.043124654609414136,0.20179915231114987,-0.11679623743327043,-0.1485366811901284,0.0903077546603001,-0.0754996853632499,0.10118288542323887,-0.03472028205494191,0.08196391655963833,-0.007558129947016725,0.06061840214196876,0.043731730265154777,0.043731730242562994,0.11896182779193502,0.06445784300535827,-0.007046665096052607,0.02891063615883393,-0.09902415657298157,0.07462736484669744,1.0,0.01803540256971364,0.045218171225256676,-0.07311484735994517,0.03139950533740999,0.03944752659469477,0.051751006629418124,0.046120004338902745,0.046120004338911474,0.014344932488273343,0.03869571608975985,0.025345281966631533,0.020175147747731253,0.04318485706675311,0.04173982736086506
stdDev_CUSTOM.hSpeed [m/s],0.00235480532716481,0.09040866474860006,0.0023784008546113766,-0.07751185861270919,0.06714974727275706,-0.001383941222752644,-0.09267746381241895,-0.005837786223806814,0.002360988939744408,0.19843487224317732,-0.01030838594225027,0.21227646057003263,5.9257180075799e-06,-0.022626179019246503,-0.01785900726766299,-0.11788054763648984,-0.11788054762933287,0.004764405477781052,0.04932234758431815,0.0415248148927554,-0.11053926172315223,-0.05247725833669261,0.03157995999329828,0.01803540256971364,1.0,0.21689821099623496,0.3950125768030807,0.2800362473013396,0.1998358944535999,0.22316615798072592,-0.25430395591017885,-0.2543039559101882,0.975613678248751,0.826896424736917,-0.1688774334516507,0.37471502407420093,0.7022827679545648,0.21164218835092696
stdDev_CUSTOM.distance [m],-0.12872106345598688,-0.01072165954665942,-0.12866477093833317,0.004257269393246763,-0.018296630806692984,-0.04061154408822067,0.061740256116006254,-0.007625822508313899,-0.12869831692404907,0.9873118804089663,-0.1172220311446823,0.9369005965806402,-0.168272515466435,-0.07581112044550073,0.09562311710632335,0.010219963941922927,0.01021996394974831,-0.01475587938889798,0.013442632587753595,0.041806121602609804,0.036430842006196736,0.06707671111823181,-0.017473694183469998,0.045218171225256676,0.21689821099623496,1.0,0.7117925934405946,0.8593127139157013,0.9873551412765328,0.9056605361402068,-0.529358664732388,-0.5293586647323589,0.21024039663530691,0.26267502158400424,-0.27810871106145524,0.05888167479232087,0.10542898571011833,-0.08311105742227343
stdDev_CALC.hSpeed [m/s],-0.15412015206479643,-0.03074946394352253,-0.15411175995114323,0.02760860821543407,-0.06164622280624229,-0.19363444026291485,0.1537197749970834,0.018172078539154462,-0.15413436706892586,0.7076088597093847,-0.15378374840025533,0.5648206677870065,-0.1774705876098001,-0.0661734869521702,-0.009280087337672736,-0.08067198761189022,-0.08067198759988242,0.02288463949997708,0.11553570345762305,0.033987275036570355,-0.04262337270458874,0.03910151999461486,-0.06861705307665149,-0.07311484735994517,0.3950125768030807,0.7117925934405946,1.0,0.6561636164164486,0.6883222914953351,0.635799646901386,-0.42599628029706305,-0.4259962802970395,0.38580316453552554,0.37009463069577336,-0.21744425626812766,0.12453874693344344,0.26401824512576305,-0.015787968823060928
stdDev_CALC.distance [m],-0.20805450133167003,0.01757974175896566,-0.20799831553109657,-0.006688774733245566,-0.00528883226216324,-0.048796562174071564,0.030360983825693535,-0.031082650400111402,-0.2080316172394887,0.8494639091632235,-0.20174212481941634,0.8136045461946105,-0.19153323694140229,-0.06851092348625276,-0.03095496731128012,-0.04750309799852117,-0.0475030979832046,0.1147607416122958,0.020766612032050616,0.051986715846900705,0.08681511719481352,0.02196082471589519,-0.14580700927145035,0.03139950533740999,0.2800362473013396,0.8593127139157013,0.6561636164164486,1.0,0.8698858073379632,0.7212362230768669,-0.45527186871389275,-0.45527186871388536,0.2905851507269837,0.29735278644316926,-0.2457117669926413,0.08469769564896205,0.200577670593969,-0.007327527333680071
stdDev_OSD.latitude,-0.1541760469825047,-0.014198782437828902,-0.15412449247961374,0.004312499404809631,-0.01333010855900692,-0.026071455542181602,0.05259472279750237,-0.002767706475482551,-0.15415361045351084,0.9809462724031099,-0.13888646966846904,0.9318158255499731,-0.18357291040692136,-0.09050571957232408,0.06643832592321086,0.04189640425088045,0.04189640425886454,0.009475922863931377,-0.016450321317567535,0.04191910120489798,0.07458461626292757,0.05624146552749277,-0.06178720938744995,0.03944752659469477,0.1998358944535999,0.9873551412765328,0.6883222914953351,0.8698858073379632,1.0,0.8430814124551029,-0.5190545756881261,-0.5190545756880971,0.20670858366034792,0.226047171926885,-0.2713104085645183,0.006628578442602068,0.09997242865063827,-0.08660244809794763
stdDev_OSD.longitude,-0.02756713050605055,0.03504390993793564,-0.027522289171544312,-0.034936810737841204,0.022206774325653583,-0.023407142574487463,0.027220908437653863,-0.010258001121983485,-0.027546569754431562,0.8890959104754107,-0.02769280617396015,0.8593709112106669,-0.07454657826259208,-0.027402422622154702,0.2046042728206206,-0.0794767306951848,-0.07947673069003572,-0.07424144047574274,0.07549507355420858,0.02237043644076466,-0.04874819130445256,0.09733378433943407,0.1429734791060751,0.051751006629418124,0.22316615798072592,0.9056605361402068,0.635799646901386,0.7212362230768669,0.8430814124551029,1.0,-0.4806092012492322,-0.4806092012492084,0.18636116313751006,0.3170533691529251,-0.2594536417509324,0.15176050485230452,0.09989683539011514,-0.060112276240987327
stdDev_OSD.height [m],0.03678278721769504,0.019382715232531725,0.03673987065245342,-0.003626451467069433,0.022070669253160292,0.02300628907233021,-0.06333029329732641,-0.044508578044074765,0.03678489503181672,-0.5314336166385644,0.05786241995213118,-0.5094519549206246,0.37248534241432524,-0.05683668809983666,0.08614410484581274,0.16994808189231417,0.16994808189773672,0.06301425544671141,-0.025487882000905692,-0.4208541049435033,0.07762068935072665,-0.10135519763991124,0.010658529774598536,0.046120004338902745,-0.25430395591017885,-0.529358664732388,-0.42599628029706305,-0.45527186871389275,-0.5190545756881261,-0.4806092012492322,1.0,0.999999999999998,-0.2461976109571766,-0.21002116964061637,0.19191663984750512,-0.0402715625151732,-0.23410594962517448,-0.03362106917776745
