Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
62.592,53.32,,0.189,18.862,1.063,76,85,66
49.824,56.424,,20.051,0.89,1.244,102,101,66
49.76,55.704,,20.228,4.716,0.903,102,128,66
47.184,64.168,,11.69,18.108,1.362,74,102,95
55.936,63.232,,0.051,20.246,18.8,74,74,74
51.712,54.504,,8.485,12.96,4.551,76,85,66
49.464,59.248,,20.239,5.308,1.64,102,154,95
50.848,62.904,,20.399,14.321,0.313,102,85,66
54.424,56.112,,0.078,1.858,3.084,76,180,66
47.392,61.368,,20.184,15.556,10.4,102,74,74
50.704,56.256,,20.234,4.87,7.05,102,102,74
47.096,63.768,,20.289,16.112,4.173,76,75,95
55.48,61.944,,20.381,0.581,3.3,102,75,66
47.848,59.688,,20.266,0.051,1.729,102,75,66
,58.76,,0.143,0.548,19.336,76,75,66
,66.856,,20.146,5.363,0.624,102,75,95
,54.856,,20.273,16.146,25.028,102,154,95
,53.792,,20.283,9.946,24.981,76,87,95
,52.832,,20.312,1.723,2.892,102,128,66
,72.032,,21.052,6.927,1.298,102,85,66
,50.32,,1.253,18.583,0.407,76,154,66
,59.368,,3.338,4.205,3.77,76,85,90
,54.792,,15.67,18.174,16.628,102,102,95
,63.064,,20.452,24.624,8.025,102,154,66
,63.744,,20.246,24.988,1.135,76,154,66
,56.44,,20.252,9.95,0.484,128,85,66
,58.816,,20.265,12.305,15.374,102,102,95
,64.608,,3.565,9.505,13.169,76,85,66
,59.664,,16.7,9.817,1.095,76,76,66
,53.2,,20.52,4.571,0.595,102,154,66
,58.544,,20.258,55.382,10.153,76,232,95
,62.384,,20.266,8.152,19.661,128,85,66
,55.28,,6.9,6.02,1.271,77,76,66
,55.544,,1.471,19.49,0.85,105,85,66
,64.328,,3.64,4.34,3.197,79,76,95
,63.184,,0.281,0.06,25.666,87,76,95
,59.368,,7.962,12.135,0.346,102,206,66
,54.48,,3.715,29.899,24.63,84,128,95
,61.632,,16.819,17.949,25.011,76,154,95
,68.272,,20.24,10.261,21.929,102,85,66
,58.072,,20.691,21.38,3.217,76,85,95
,58.52,,20.257,3.367,25.111,128,180,95
,58.832,,20.245,6.881,1.864,102,75,66
,76.104,,1.728,0.067,23.066,79,79,95
,65.872,,0.372,5.667,6.645,76,76,66
,58.864,,0.963,11.012,18.362,79,85,95
,58.152,,17.168,21.345,11.728,76,154,66
,65.792,,20.228,14.08,13.356,102,128,95
,61.072,,23.953,1.723,17.484,76,85,66
,65.528,,20.457,0.058,7.526,128,101,95
,61.408,,29.452,14.526,24.932,102,85,95
,65.4,,11.261,3.977,24.992,76,102,95
,57.456,,20.281,20.739,17.073,102,85,66
,59.744,,20.268,9.318,7.934,102,180,95
,66.616,,20.262,21.553,25.025,102,128,95
,62.472,,10.229,21.502,12.744,74,128,66
,62.536,,10.013,16.586,1.178,102,128,66
,,,11.124,6.888,1.098,74,85,66
,,,9.224,16.464,0.908,76,128,66
,,,20.252,4.388,1.077,102,85,66
,,,20.271,13.107,1.283,102,76,66
,,,20.352,0.162,1.095,102,84,66
,,,20.257,13.042,1.196,102,154,66
,,,20.26,16.117,1.244,76,128,66
,,,20.229,26.943,1.761,102,128,66
,,,20.228,13.688,1.401,102,85,95
,,,20.228,16.419,0.103,102,180,66
,,,20.145,10.255,0.724,76,102,66
,,,0.1,0.244,0.67,102,85,66
,,,20.23,5.598,0.395,102,79,66
,,,17.158,3.601,4.013,74,74,66
,,,3.075,15.904,19.081,76,128,95
,,,1.383,25.585,6.779,74,128,66
,,,18.894,19.789,0.797,102,85,66
,,,20.264,0.47,17.45,102,128,95
,,,15.326,1.458,25.005,909,74,95
,,,4.608,17.331,2.35,76,85,74
,,,0.296,1.482,1.295,102,128,66
,,,20.352,22.094,11.237,103,154,66
,,,20.246,0.273,10.096,77,76,95
,,,62.216,0.043,24.995,76,76,95
,,,1.646,9.26,12.478,154,909,66
,,,12.487,11.174,0.342,102,128,66
,,,20.734,28.439,12.183,76,154,95
,,,21.976,25.353,16.901,102,85,66
,,,21.339,6.381,8.119,102,79,95
,,,4.579,5.105,22.056,83,180,66
,,,21.11,10.925,0.345,76,85,66
,,,0.063,2.002,2.554,76,102,95
,,,2.709,3.696,25.02,102,76,95
,,,20.357,1.105,2.488,102,76,66
,,,20.325,44.92,22.522,76,206,95
,,,22.107,0.398,21.954,128,74,66
,,,20.355,15.074,3.022,102,102,95
,,,12.395,1.278,25.043,76,85,95
,,,7.857,10.053,24.998,76,85,95
,,,20.303,5.624,7.2,102,85,66
,,,20.8,1.352,0.521,76,101,66
,,,20.267,4.953,17.276,128,154,95
,,,20.254,9.993,12.865,102,85,66
,,,7.014,2.5,12.231,79,74,95
,,,4.311,8.098,16.81,84,102,66
,,,8.931,29.876,8.243,76,154,95
,,,20.866,10.196,21.688,102,130,66
,,,20.645,28.272,3.156,76,85,95
,,,20.25,3.34,25.023,128,181,95
,,,20.717,16.086,16.922,102,85,66
,,,9.525,65.708,8.112,79,232,95
,,,0.398,14.442,24.969,76,85,95
,,,0.533,0.393,24.987,79,128,95
,,,9.957,19.774,3.572,76,85,66
,,,20.258,0.897,20.941,102,128,90
,,,20.307,7.31,0.48,102,76,95
,,,20.265,13.201,0.607,102,154,118
,,,20.242,24.682,24.419,102,102,66
,,,20.295,25.912,0.009,76,128,95
,,,20.252,9.678,1.044,102,85,66
,,,20.282,11.136,0.969,102,180,66
,,,22.121,6.944,2.306,74,85,66
,,,0.028,10.906,0.956,102,76,66
,,,20.025,0.064,0.41,74,76,66
,,,0.351,3.666,0.387,102,102,66
,,,20.55,46.296,6.014,76,206,66
,,,20.266,11.696,20.746,102,76,95
,,,20.247,6.932,10.501,102,85,66
,,,20.251,20.949,14.405,102,85,66
,,,20.248,11.97,0.108,102,75,95
,,,20.459,0.057,25.221,102,79,95
,,,20.259,9.957,3.976,76,258,66
,,,20.253,11.82,0.824,102,76,66
,,,20.279,25.254,19.965,102,154,95
,,,17.264,9.283,25.228,87,85,95
,,,2.979,2.294,14.404,102,83,66
,,,7.613,11.085,1.124,76,85,66
,,,13.398,2.001,0.427,102,154,66
,,,5.515,4.192,9.467,74,85,95
,,,0.025,0.087,18.927,74,101,66
,,,14.735,34.218,0.448,76,85,66
,,,21.094,12.079,5.589,128,180,95
,,,20.318,19.092,25.006,76,76,95
,,,20.253,26.252,1.995,102,85,66
,,,5.816,20.625,1.244,76,85,66
,,,14.545,4.839,21.782,102,258,95
,,,20.268,9.078,19.826,76,76,66
,,,20.272,0.055,1.006,128,84,66
,,,22.089,4.952,1.558,102,76,66
,,,20.338,15.722,2.586,76,87,95
,,,3.943,13.434,23.59,76,154,66
,,,16.371,22.123,1.237,102,154,66
,,,20.358,9.417,0.172,76,85,95
,,,3.248,16.305,25.026,76,74,95
,,,2.848,4.247,24.984,76,85,95
,,,14.516,4.065,8.717,128,180,66
,,,21.688,10.204,0.939,102,76,66
,,,20.367,1.103,0.367,76,79,66
,,,2.174,11.683,14.962,76,92,95
,,,0.063,7.623,13.716,76,154,66
,,,22.005,21.034,0.273,102,74,66
,,,20.263,2.495,11.024,102,154,95
,,,20.243,20.288,19.05,102,76,66
,,,20.808,1.749,0.523,102,85,66
