,dist type,sse,params
58,<scipy.stats._continuous_distns.nakagami_gen object at 0x000001D8DF0ADBA8>,0.010965496380540295,"(0.1212600721399744, 73.99999999999999, 78.32155998194335)"
55,<scipy.stats._continuous_distns.lomax_gen object at 0x000001D8DF0BDBA8>,0.01139898281465557,"(40.30499492499699, 73.99999999999997, 833.8361630401398)"
8,<scipy.stats._continuous_distns.chi_gen object at 0x000001D8DF03EEB8>,0.011427587150274678,"(0.4852445761184657, 73.99999999999999, 85.74740183132735)"
31,<scipy.stats._continuous_distns.gamma_gen object at 0x000001D8DF067EF0>,0.011547595978898128,"(0.11248895724041438, 73.99999999999999, 14.114823756612898)"
82,<scipy.stats._continuous_distns.wald_gen object at 0x000001D8DF0DBC88>,0.011646045714988803,"(69.66047034878355, 23.767598990453937)"
28,<scipy.stats._continuous_distns.genexpon_gen object at 0x000001D8DF067908>,0.011939869061357829,"(1.664341601277946, 3.6859331130598907e-10, 93.83821981813927, 73.99999999990428, 41.9817305397663)"
14,<scipy.stats._continuous_distns.expon_gen object at 0x000001D8DF0416D8>,0.011939876925642875,"(74.0, 25.224299065420567)"
15,<scipy.stats._continuous_distns.exponnorm_gen object at 0x000001D8DF041898>,0.011942194055040574,"(2076.6800042100076, 73.96537323327834, 0.012144660178165706)"
35,<scipy.stats._continuous_distns.gompertz_gen object at 0x000001D8DF0799B0>,0.011974209821152802,"(24057.444895764813, 73.99928012855526, 614402.0476836383)"
7,<scipy.stats._continuous_distns.cauchy_gen object at 0x000001D8DF03E908>,0.012404444029013497,"(78.40128113797397, 7.436859639779701)"
39,<scipy.stats._continuous_distns.halflogistic_gen object at 0x000001D8DF08C588>,0.013221127889617542,"(73.99999802546103, 19.047226226159516)"
33,<scipy.stats._continuous_distns.genhalflogistic_gen object at 0x000001D8DF079AC8>,0.013269689989958693,"(2.658126677660923e-06, 73.99955995810417, 19.48028715511102)"
6,<scipy.stats._continuous_distns.burr_gen object at 0x000001D8DF03E160>,0.01327613861543899,"(5.050912835172104, 600.3349057832398, 20.574809381991393, 17.220128590357014)"
12,<scipy.stats._continuous_distns.dweibull_gen object at 0x000001D8DF041470>,0.013549810810969492,"(0.6694431963306265, 102.00000000000001, 15.764875821959004)"
45,<scipy.stats._continuous_distns.invweibull_gen object at 0x000001D8DF099240>,0.013691252387295032,"(6.410163508906905, -0.18750618034594604, 83.2125370315691)"
57,<scipy.stats._continuous_distns.mielke_gen object at 0x000001D8DF0AD550>,0.013734490603503558,"(237.10438534975574, 6.560538757116758, -2.2577366419126834, 49.495412718598644)"
78,<scipy.stats._continuous_distns.tukeylambda_gen object at 0x000001D8DF0DB320>,0.013865370736312856,"(1.4857060892552272, 100.99999999223391, 40.114064421550566)"
11,<scipy.stats._continuous_distns.dgamma_gen object at 0x000001D8DF0415C0>,0.014031218776472692,"(0.5952589984307579, 102.00000000000003, 51.66535080292116)"
61,<scipy.stats._continuous_distns.nct_gen object at 0x000001D8DF0BD630>,0.014098487708682878,"(10.573607546612397, 36.71867792036233, -0.21219009039941075, 2.3907344523877816)"
4,<scipy.stats._continuous_distns.betaprime_gen object at 0x000001D8DF01DBA8>,0.01414869958988574,"(1134.2434871052733, 14.059839460053063, 5.863115479331682, 1.0191129913508805)"
25,<scipy.stats._continuous_distns.genlogistic_gen object at 0x000001D8DF067438>,0.014294625533343437,"(1589.0766340597306, -52.117994954695604, 18.632082531018327)"
36,<scipy.stats._continuous_distns.gumbel_r_gen object at 0x000001D8DF079C18>,0.014301802609263654,"(85.27993742934544, 18.656334098655453)"
53,<scipy.stats._continuous_distns.loglaplace_gen object at 0x000001D8DF0A2898>,0.014321012265929094,"(5.333693798186662, -0.24358292676242058, 83.24361218004486)"
50,<scipy.stats._continuous_distns.laplace_gen object at 0x000001D8DF099DD8>,0.014607114415060322,"(83.00000000993835, 23.046738796381028)"
52,<scipy.stats._continuous_distns.loggamma_gen object at 0x000001D8DF0A29B0>,0.014744424771979006,"(195.95568581752732, -1244.4004056517192, 253.2512850607901)"
42,<scipy.stats._continuous_distns.hypsecant_gen object at 0x000001D8DF08C978>,0.0147654764662377,"(89.84303000736583, 18.780431877141908)"
74,<scipy.stats._continuous_distns.t_gen object at 0x000001D8DF0BD400>,0.014792594168828782,"(3.181229108144789, 88.54559424786078, 15.52776068730505)"
51,<scipy.stats._continuous_distns.logistic_gen object at 0x000001D8DF0A27B8>,0.014797639486623906,"(90.89812497190141, 15.866241999935838)"
10,<scipy.stats._continuous_distns.cosine_gen object at 0x000001D8DF041048>,0.014797677721374027,"(93.93664924413821, 15.239625415572727)"
1,<scipy.stats._continuous_distns.anglit_gen object at 0x000001D8DF01D3C8>,0.014884461106255378,"(95.7695699166967, 49.605785111248295)"
73,<scipy.stats._continuous_distns.semicircular_gen object at 0x000001D8DF0D4470>,0.014947046510481564,"(98.33162171150246, 32.75266744434822)"
60,<scipy.stats._continuous_distns.ncf_gen object at 0x000001D8DF0BD160>,0.015018530680825972,"(7.335649516048407, 49.32312900900277, 29.59292578070465, -0.32995641942107345, 18.437595814106416)"
65,<scipy.stats._continuous_distns.powerlaw_gen object at 0x000001D8DF0C70F0>,0.015609230753218628,"(0.4764812270341562, 73.99999999999999, 950.8318363676442)"
49,<scipy.stats._continuous_distns.kstwobign_gen object at 0x000001D8DF010D68>,0.015835950266022792,"(-46.87490711008059, 184.95586293579734)"
22,<scipy.stats._continuous_distns.foldnorm_gen object at 0x000001D8DF0567B8>,0.015938824934346684,"(0.005806023009645783, 73.99999009805231, 84.50229381959147)"
40,<scipy.stats._continuous_distns.halfnorm_gen object at 0x000001D8DF08C780>,0.01593889688422429,"(73.99999999999596, 84.50626999607414)"
29,<scipy.stats._continuous_distns.genextreme_gen object at 0x000001D8DF067F98>,0.016026602979250956,"(-14.822222925771419, 74.26535523309147, 3.933154419401794)"
70,<scipy.stats._continuous_distns.rayleigh_gen object at 0x000001D8DF0C7A58>,0.016370957701953615,"(7.577165042865197, 86.32565915620557)"
71,<scipy.stats._continuous_distns.rice_gen object at 0x000001D8DF0C7FD0>,0.016370958542840573,"(6.93847078033404e-05, 7.577233642329572, 86.3256549114867)"
56,<scipy.stats._continuous_distns.maxwell_gen object at 0x000001D8DF0A2FD0>,0.01643596251333442,"(-29.286514681168462, 87.59772546985799)"
81,<scipy.stats._continuous_distns.vonmises_gen object at 0x000001D8DF0DBA58>,0.01685149423542616,"(12.474729547583447, 106.01818424076734, 255.59705038211075)"
5,<scipy.stats._continuous_distns.bradford_gen object at 0x000001D8DF01DE48>,0.016873582888815956,"(12.63628240227445, 73.99975564734446, 835.0002587654378)"
62,<scipy.stats._continuous_distns.norm_gen object at 0x000001D8DF010F98>,0.016923144813154132,"(99.22429906542057, 80.65390563182645)"
68,<scipy.stats._continuous_distns.rdist_gen object at 0x000001D8DF0C7828>,0.016947121179783753,"(1.4626427869076615, -9.756980093442149, 137.75698009344217)"
75,<scipy.stats._continuous_distns.triang_gen object at 0x000001D8DF0D4B38>,0.017924116733552264,"(7.270799253719125e-05, 73.62732456015746, 846.016781255428)"
37,<scipy.stats._continuous_distns.gumbel_l_gen object at 0x000001D8DF079E48>,0.018056976507022544,"(161.8872757981672, 220.31832876087657)"
76,<scipy.stats._continuous_distns.truncexpon_gen object at 0x000001D8DF0D4DD8>,0.018095440529630163,"(1.194985404240012, -10.09643240538221, 769.1277476229761)"
2,<scipy.stats._continuous_distns.arcsine_gen object at 0x000001D8DF01D978>,0.018336198175952872,"(-8.987753039656194, 917.9877530396564)"
79,<scipy.stats._continuous_distns.uniform_gen object at 0x000001D8DF0DB5C0>,0.018358868416391394,"(74.0, 835.0)"
77,<scipy.stats._continuous_distns.truncnorm_gen object at 0x000001D8DF0DB0B8>,0.018645719863198386,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)"
69,<scipy.stats._continuous_distns.reciprocal_gen object at 0x000001D8DF0C7C88>,0.018645719863198386,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)"
84,<scipy.stats._continuous_distns.weibull_max_gen object at 0x000001D8DF056CC0>,0.019204985027765572,"(0.13472486258550914, 909.0000000000002, 1.8346237037905477)"
24,<scipy.stats._continuous_distns.frechet_l_gen object at 0x000001D8DF0671D0>,0.019204985027765572,"(0.13472486258550914, 909.0000000000002, 1.8346237037905477)"
47,<scipy.stats._continuous_distns.johnsonsu_gen object at 0x000001D8DF099B00>,0.04445506781724734,"(-1.252609686701931, 0.16104338469988896, 75.99999999279407, 1.738547000462829e-08)"
27,<scipy.stats._continuous_distns.gennorm_gen object at 0x000001D8DF0E0160>,0.18362858986189803,"(0.08117528350764008, 75.99951768885744, 3.1857886956376167e-14)"
80,<scipy.stats._continuous_distns.vonmises_gen object at 0x000001D8DF0DBB70>,1.2033290713937639,"(6.596142979480752, 76.65137724776815, 4.0177824673569535)"
48,<scipy.stats._continuous_distns.ksone_gen object at 0x000001D8DF003DD8>,,"(1.0000006248970394, -41.606050613907385, 169.60646508530218)"
67,<scipy.stats._continuous_distns.powernorm_gen object at 0x000001D8DF010A58>,,"(1.2691965808974572e-05, 7.538843252767483, 0.30770252845132806)"
85,<scipy.stats._continuous_distns.wrapcauchy_gen object at 0x000001D8DF0DBE80>,,"(1.0, -9.5, 159.47325297807913)"
