,dist type,sse,params
77,<scipy.stats._continuous_distns.truncnorm_gen object at 0x0000018DEFBEB080>,0.013147882331232678,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)"
22,<scipy.stats._continuous_distns.foldnorm_gen object at 0x0000018DEFB67630>,0.013147882331232678,"(1.3053444453258112, -80.50818673133597, 3.902134995832234e-30)"
17,<scipy.stats._continuous_distns.exponpow_gen object at 0x0000018DEFB57D30>,0.013147882331232678,"(1.0514684076211798, 8.784513944061086, 0.9504619489466652)"
7,<scipy.stats._continuous_distns.cauchy_gen object at 0x0000018DEFB4F828>,0.013147882331232678,"(1514.0, 1.9629388115648198e-22)"
58,<scipy.stats._continuous_distns.nakagami_gen object at 0x0000018DEFBC0AC8>,0.013147882331232678,"(1.3053444453258112, -80.50818673133597, 3.902134995832234e-30)"
71,<scipy.stats._continuous_distns.rice_gen object at 0x0000018DEFBD7F28>,0.013147882331232678,"(1.3053444453258112, -80.50818673133597, 3.902134995832234e-30)"
41,<scipy.stats._continuous_distns.halfgennorm_gen object at 0x0000018DEFBF8320>,0.013148948785838712,"(0.2680408376653778, 76.99999961425759, 7.183393211683377)"
81,<scipy.stats._continuous_distns.vonmises_gen object at 0x0000018DEFBEB9E8>,0.013163539242746108,"(6.397265283545189e-07, -14.712668014317703, 292.4353264642617)"
68,<scipy.stats._continuous_distns.rdist_gen object at 0x0000018DEFBD77B8>,0.013183292485366411,"(0.973918665427909, -67.15242924329439, 971.1524292432945)"
0,<scipy.stats._continuous_distns.alpha_gen object at 0x0000018DEFB209B0>,0.013195877926197041,"(9.862746336710713e-14, -1.0002822514740983, 390.33700915098086)"
63,<scipy.stats._continuous_distns.pareto_gen object at 0x0000018DEFBCD860>,0.013205109135222458,"(0.3630498058188688, -0.011720040987458113, 77.01171946604074)"
73,<scipy.stats._continuous_distns.semicircular_gen object at 0x0000018DEFBE7400>,0.013293520993971953,"(487.2151407570052, 421.1036408323374)"
1,<scipy.stats._continuous_distns.anglit_gen object at 0x0000018DEFB2C320>,0.013315967752723742,"(481.46679535222603, 550.6035943959232)"
83,<scipy.stats._continuous_distns.weibull_min_gen object at 0x0000018DEFB678D0>,0.013341625893156924,"(0.1664804508184216, 76.99999999999999, 4.512797815325685)"
23,<scipy.stats._continuous_distns.frechet_r_gen object at 0x0000018DEFB67DA0>,0.013341625893156924,"(0.1664804508184216, 76.99999999999999, 4.512797815325685)"
54,<scipy.stats._continuous_distns.lognorm_gen object at 0x0000018DEFBAD9E8>,0.013343001937837964,"(6.400322370463703, 76.99999999999999, 1.5558772453938046)"
70,<scipy.stats._continuous_distns.rayleigh_gen object at 0x0000018DEFBD79E8>,0.018467520364651838,"(730.9989650234734, 11.438802633664794)"
40,<scipy.stats._continuous_distns.halfnorm_gen object at 0x0000018DEFB97668>,0.019954702310465075,"(730.9999999783383, 11.438814488615222)"
80,<scipy.stats._continuous_distns.vonmises_gen object at 0x0000018DEFBEBB38>,23125258.679207217,"(1.4877352991520028, 1533.660878687121, 0.000629471073243459)"
48,<scipy.stats._continuous_distns.ksone_gen object at 0x0000018DEFB13D30>,,"(1.3053444453258112, -80.50818673133597, 3.902134995832234e-30)"
85,<scipy.stats._continuous_distns.wrapcauchy_gen object at 0x0000018DEFBEBE10>,,"(1.0, -66.70000000000002, 274.44678386766435)"
