Time (s),Data Rate (kbpms),Time (s),Packet Interval (ms),Packet Length (bytes)
108.02,0,108.815966,2899.886,1514
108.03,0,108.815966,2899.886,1514
108.04,0,108.815966,2899.886,1514
108.05,0,108.815966,2899.886,1514
108.06,0,108.815966,2899.886,1514
108.07,0,108.815966,2899.886,1514
108.08,0,108.815966,2899.886,1514
108.09,0,108.815966,2899.886,1514
108.1,0,108.815966,2899.886,1514
108.11,0,108.815966,2899.886,1514
108.12,0,108.815966,2899.886,1514
108.13,0,108.815966,2899.886,1514
108.14,0,108.815966,2899.886,1514
108.15,0,108.815966,2899.886,1514
108.16,0,108.815966,2899.886,1514
108.17,0,108.815966,2899.886,1514
108.18,0,108.815966,2899.886,1514
108.19,0,108.815966,2899.886,1514
108.2,0,108.815966,2899.886,1514
108.21,0,108.815966,2899.886,1514
108.22,0,108.815966,2899.886,1514
108.23,0,108.815966,2899.886,1514
108.24,0,108.815966,2899.886,1514
108.25,0,108.815966,2899.886,1514
108.26,0,108.815966,2899.886,1514
108.27,0,108.815966,2899.886,1514
108.28,0,108.815966,2899.886,1514
108.29,0,108.815966,2899.886,1514
108.3,0,108.815966,2899.886,1514
108.31,0,108.815966,2899.886,1514
108.32,0,108.815966,2899.886,1514
108.33,0,108.815966,2899.886,1514
108.34,0,108.815966,2899.886,1514
108.35,0,108.815966,2899.886,1514
108.36,0,108.815966,2899.886,1514
108.37,0,108.815966,2899.886,1514
108.38,0,108.815966,2899.886,1514
108.39,0,108.815966,2899.886,1514
108.4,0,108.815966,2899.886,1514
108.41,0,108.815966,2899.886,1514
108.42,0,108.815966,2899.886,1514
108.43,0,108.815966,2899.886,1514
108.44,0,108.815966,2899.886,1514
108.45,0,108.815966,2899.886,1514
108.46,0,108.815966,2899.886,1514
108.47,0,108.815966,2899.886,1514
108.48,0,108.815966,2899.886,1514
108.49,0,108.815966,2899.886,1514
108.5,0,108.815966,2899.886,1514
108.51,0,108.815966,2899.886,1514
108.52,0,108.815966,2899.886,1514
108.53,0,108.815966,2899.886,1514
108.54,0,108.815966,2899.886,1514
108.55,0,108.815966,2899.886,1514
108.56,0,108.815966,2899.886,1514
108.57,0,108.815966,2899.886,1514
108.58,0,108.815966,2899.886,1514
108.59,0,108.815966,2899.886,1514
108.6,0,108.815966,2899.886,1514
108.61,0,108.815966,2899.886,1514
108.62,0,108.815966,2899.886,1514
108.63,0,108.815966,2899.886,1514
108.64,0,108.815966,2899.886,1514
108.65,0,108.815966,2899.886,1514
108.66,0,108.815966,2899.886,1514
108.67,0,108.815966,2899.886,1514
108.68,0,108.815966,2899.886,1514
108.69,0,108.815966,2899.886,1514
108.7,0,108.815966,2899.886,1514
108.71,0,108.815966,2899.886,1514
108.72,0,108.815966,2899.886,1514
108.73,0,108.815966,2899.886,1514
108.74,0,108.815966,2899.886,1514
108.75,0,108.815966,2899.886,1514
108.76,0,108.815966,2899.886,1514
108.77,0,108.815966,2899.886,1514
108.78,0,108.815966,2899.886,1514
108.79,0,108.815966,2899.886,1514
108.8,0,108.815966,2899.886,1514
108.81,12.112,108.815966,2899.886,1514
108.82,0,108.815966,2899.886,1514
108.83,0,108.815966,2899.886,1514
108.84,0,108.815966,2899.886,1514
108.85,0,108.815966,2899.886,1514
108.86,0,108.815966,2899.886,1514
108.87,0,108.815966,2899.886,1514
108.88,0,108.815966,2899.886,1514
108.89,0,108.815966,2899.886,1514
108.9,0,108.815966,2899.886,1514
108.91,0,108.815966,2899.886,1514
108.92,0,108.815966,2899.886,1514
108.93,0,108.815966,2899.886,1514
108.94,0,108.815966,2899.886,1514
108.95,0,108.815966,2899.886,1514
108.96,0,108.815966,2899.886,1514
108.97,0,108.815966,2899.886,1514
108.98,0,108.815966,2899.886,1514
108.99,0,108.815966,2899.886,1514
109,0,108.815966,2899.886,1514
109.01,0,109.196247,380.281,1514
109.02,0,109.196247,380.281,1514
109.03,0,109.196247,380.281,1514
109.04,0,109.196247,380.281,1514
109.05,0,109.196247,380.281,1514
109.06,0,109.196247,380.281,1514
109.07,0,109.196247,380.281,1514
109.08,0,109.196247,380.281,1514
109.09,0,109.196247,380.281,1514
109.1,0,109.196247,380.281,1514
109.11,0,109.196247,380.281,1514
109.12,0,109.196247,380.281,1514
109.13,0,109.196247,380.281,1514
109.14,0,109.196247,380.281,1514
109.15,0,109.196247,380.281,1514
109.16,0,109.196247,380.281,1514
109.17,0,109.196247,380.281,1514
109.18,0,109.196247,380.281,1514
109.19,13.04,109.196247,380.281,1514
109.2,0,109.196304,0.057,116
109.21,0,109.196304,0.057,116
109.22,0,109.196304,0.057,116
109.23,0,109.196304,0.057,116
109.24,0,109.196304,0.057,116
109.25,0,109.196304,0.057,116
109.26,0,109.196304,0.057,116
109.27,0,109.196304,0.057,116
109.28,0,109.196304,0.057,116
109.29,0,109.196304,0.057,116
109.3,0,109.196304,0.057,116
109.31,0,109.196304,0.057,116
109.32,0,109.196304,0.057,116
109.33,0,109.196304,0.057,116
109.34,0,109.196304,0.057,116
109.35,0,109.196304,0.057,116
109.36,0,109.196304,0.057,116
109.37,0,109.196304,0.057,116
109.38,0,109.196304,0.057,116
109.39,0,109.196304,0.057,116
109.4,0,109.595966,399.662,1078
109.41,0,109.595966,399.662,1078
109.42,0,109.595966,399.662,1078
109.43,0,109.595966,399.662,1078
109.44,0,109.595966,399.662,1078
109.45,0,109.595966,399.662,1078
109.46,0,109.595966,399.662,1078
109.47,0,109.595966,399.662,1078
109.48,0,109.595966,399.662,1078
109.49,0,109.595966,399.662,1078
109.5,0,109.595966,399.662,1078
109.51,0,109.595966,399.662,1078
109.52,0,109.595966,399.662,1078
109.53,0,109.595966,399.662,1078
109.54,0,109.595966,399.662,1078
109.55,0,109.595966,399.662,1078
109.56,0,109.595966,399.662,1078
109.57,0,109.595966,399.662,1078
109.58,0,109.595966,399.662,1078
109.59,62.04,109.595966,399.662,1078
109.6,0,109.596164,0.022,785
109.61,0,109.596164,0.022,785
109.62,0,109.596164,0.022,785
109.63,0,109.596164,0.022,785
109.64,0,109.596164,0.022,785
109.65,0,109.596164,0.022,785
109.66,0,109.596164,0.022,785
109.67,0,109.596164,0.022,785
109.68,0,109.596164,0.022,785
109.69,0,109.596164,0.022,785
109.7,0,109.596164,0.022,785
109.71,0,109.596164,0.022,785
109.72,0,109.596164,0.022,785
109.73,0,109.596164,0.022,785
109.74,0,109.879358,283.194,102
109.75,0,109.879358,283.194,102
109.76,0,109.879358,283.194,102
109.77,0,109.879358,283.194,102
109.78,0,109.879358,283.194,102
109.79,0,109.879358,283.194,102
109.8,0,109.879358,283.194,102
109.81,0,109.879358,283.194,102
109.82,0,109.879358,283.194,102
109.83,0,109.879358,283.194,102
109.84,0,109.879358,283.194,102
109.85,0,109.879358,283.194,102
109.86,0,109.879358,283.194,102
109.87,0.816,109.879358,283.194,102
109.88,0,109.879358,283.194,102
109.89,0,109.879358,283.194,102
109.9,0,109.879358,283.194,102
109.91,0,109.933449,54.091,786
109.92,0,109.933449,54.091,786
109.93,149.816,109.933449,54.091,786
109.94,0.632,109.938886,1.556,79
109.95,12.112,109.956336,13.203,1514
109.96,0,109.956336,13.203,1514
109.97,12.112,109.970311,13.975,1514
109.98,12.112,109.984048,13.737,1514
109.99,12.112,109.984048,13.737,1514
110,0,109.99795,13.902,1514
110.01,12.112,110.018616,20.666,1514
110.02,0,110.018616,20.666,1514
110.03,11.232,110.030641,12.025,1235
110.04,0,110.037933,3.598,91
110.05,8.624,110.052912,14.979,1078
110.06,2.024,110.060484,7.572,84
110.07,5.52,110.07334,7.127,690
110.08,8.624,110.086229,12.889,1078
110.09,4.232,110.086229,12.889,1078
110.1,0,110.095266,9.037,529
110.11,0,110.121158,25.892,79
110.12,1.968,110.121158,25.892,79
110.13,14.616,110.127164,4.462,85
110.14,4.52,110.137678,2.945,1078
110.15,13.08,110.153198,10.221,557
110.16,19.072,110.161004,5.237,472
110.17,5.976,110.169229,0.033,749
110.18,0,110.176614,7.385,747
110.19,8.624,110.199577,22.963,1078
110.2,1.288,110.199577,22.963,1078
110.21,12.112,110.20526,1.554,76
110.22,0,110.218958,13.698,1514
110.23,12.112,110.23771,18.752,1514
110.24,0,110.23771,18.752,1514
110.25,12.112,110.255394,17.684,1514
110.26,0,110.255394,17.684,1514
110.27,12.112,110.279283,23.889,1514
110.28,0,110.279283,23.889,1514
110.29,12.112,110.294514,15.231,1514
110.3,10.128,110.294514,15.231,1514
110.31,0,110.306373,11.859,1266
110.32,0,110.306373,11.859,1266
110.33,12.112,110.339283,32.91,1514
110.34,0,110.339283,32.91,1514
110.35,12.112,110.350748,11.465,1514
110.36,0,110.350748,11.465,1514
110.37,12.928,110.374483,23.735,1514
110.38,21.696,110.381713,4.643,1058
110.39,5.432,110.390188,3.673,594
110.4,17.248,110.400442,2.629,1078
110.41,22.664,110.410161,3.716,811
110.42,13.736,110.419312,0.702,859
110.43,17.832,110.429247,0.687,85
110.44,13.28,110.439662,3.639,85
110.45,7.8,110.446848,5.33,975
110.46,15.6,110.463171,8.316,975
110.47,31.2,110.470582,3.644,975
110.48,7.8,110.475088,1.524,975
110.49,7.8,110.489174,14.086,975
110.5,15.6,110.503137,10.022,975
110.51,15.6,110.512583,7.016,975
110.52,15.6,110.52061,2.587,975
110.53,26.952,110.530882,7.847,975
110.54,17.928,110.540857,2.192,1078
110.55,21.416,110.546357,3.476,1078
110.56,12.792,110.559205,4.212,1078
110.57,23.152,110.568162,5.714,1514
110.58,32.848,110.57733,1.982,654
110.59,12.112,110.589841,3.329,1514
110.6,29.128,110.600766,5.606,893
110.61,0,110.609844,3.302,1514
110.62,13.336,110.62332,13.476,589
110.63,20.584,110.632941,7.102,974
110.64,21.416,110.636777,3.314,1514
110.65,12.112,110.647877,0.803,85
110.66,14.856,110.661562,8.815,779
110.67,27.272,110.671393,3.514,85
110.68,7.8,110.680384,3.581,975
110.69,23.4,110.691693,11.309,975
110.7,15.6,110.699041,4.826,975
110.71,23.4,110.711185,2.441,975
110.72,19.856,110.719797,6.125,975
110.73,36.336,110.729176,2.885,975
110.74,31.2,110.739979,3.279,1514
110.75,26.768,110.749978,2.516,975
110.76,27.8,110.759046,0.408,85
110.77,27.232,110.768505,0.869,85
110.78,8.624,110.777274,0.323,85
110.79,12.112,110.796202,12.856,1514
110.8,0,110.796202,12.856,1514
110.81,9.304,110.812061,15.859,85
110.82,8.624,110.820614,6.245,1078
110.83,9.304,110.835579,14.965,85
110.84,0.68,110.838832,3.253,1078
110.85,31.2,110.849687,10.855,85
110.86,0,110.859562,2.427,975
110.87,15.6,110.871913,12.351,975
110.88,23.4,110.881422,4.927,975
110.89,27.712,110.890222,3.796,975
110.9,7.8,110.900951,3.134,975
110.91,0,110.900951,3.134,975
110.92,12.112,110.927517,26.566,1514
110.93,10.256,110.927517,26.566,1514
110.94,0,110.939005,11.488,1282
110.95,0,110.939005,11.488,1282
110.96,12.112,110.961606,22.601,1514
110.97,7.8,110.961606,22.601,1514
110.98,12.112,110.979596,17.99,975
110.99,0,110.985107,5.511,1514
111,0,111.014171,29.064,975
111.01,7.8,111.014171,29.064,975
111.02,12.112,111.014171,29.064,975
111.03,0,111.028657,14.486,1514
111.04,7.8,111.043772,15.115,975
111.05,10.448,111.043772,15.115,975
111.06,7.8,111.058911,15.139,1306
111.07,0,111.067659,8.748,975
111.08,7.8,111.08173,14.071,975
111.09,12.112,111.095511,13.781,1514
111.1,7.8,111.095511,13.781,1514
111.11,1.864,111.107586,12.075,975
111.12,0,111.117723,10.137,233
111.13,12.112,111.134307,16.584,1514
111.14,0,111.134307,16.584,1514
111.15,0,111.134307,16.584,1514
111.16,0,111.172492,38.185,1078
111.17,20.736,111.172492,38.185,1078
111.18,0,111.177012,4.52,1514
111.19,5.056,111.197147,20.135,632
111.2,0,111.197147,20.135,632
111.21,0,111.220552,23.405,85
111.22,12.792,111.220552,23.405,85
111.23,0,111.225356,4.804,1514
111.24,12.112,111.240166,14.81,1514
111.25,0,111.240166,14.81,1514
111.26,8.624,111.261386,21.22,1078
111.27,7.616,111.261386,21.22,1078
111.28,24.224,111.278621,17.235,952
111.29,8.056,111.286595,2.921,1514
111.3,8.624,111.294296,7.701,1007
111.31,0,111.308972,14.676,1078
111.32,3.256,111.320136,11.164,85
111.33,13.208,111.332169,8.972,137
111.34,0,111.339197,7.028,1514
111.35,1.096,111.359174,19.977,137
111.36,1.664,111.359174,19.977,137
111.37,13.776,111.371175,9.031,208
111.38,0,111.376426,5.251,1514
111.39,11.568,111.393131,16.705,1446
111.4,7.8,111.393131,16.705,1446
111.41,7.8,111.40695,13.819,975
111.42,0,111.415832,8.882,975
111.43,7.544,111.435724,19.892,943
111.44,0,111.435724,19.892,943
111.45,0,111.435724,19.892,943
111.46,0,111.435724,19.892,943
111.47,0,111.491303,55.579,1514
111.48,0,111.491303,55.579,1514
111.49,12.112,111.491303,55.579,1514
111.5,12.112,111.500602,9.299,1514
111.51,0,111.500602,9.299,1514
111.52,0,111.532413,31.811,1220
111.53,9.76,111.532413,31.811,1220
111.54,0,111.532413,31.811,1220
111.55,0,111.566589,34.176,975
111.56,7.8,111.566589,34.176,975
111.57,0,111.566589,34.176,975
111.58,7.8,111.58416,17.571,975
111.59,7.8,111.591888,7.728,975
111.6,7.8,111.604188,12.3,975
111.61,7.8,111.604188,12.3,975
111.62,0,111.618993,14.805,975
111.63,7.8,111.639864,20.871,975
111.64,15.6,111.639864,20.871,975
111.65,7.8,111.649968,7.876,975
111.66,0,111.65206,2.092,975
111.67,15.6,111.672542,20.482,975
111.68,7.8,111.681572,4.949,975
111.69,0,111.681572,4.949,975
111.7,15.6,111.700766,19.194,975
111.71,0,111.709424,8.658,975
111.72,7.8,111.723495,14.071,975
111.73,7.8,111.734375,10.88,975
111.74,19,111.74044,6.065,211
111.75,17.096,111.751049,2.608,1078
111.76,12.824,111.761982,5.196,1078
111.77,37.08,111.770692,3.447,1514
111.78,21.416,111.779723,1.598,93
111.79,17.432,111.786169,3.318,1514
111.8,16.008,111.799978,2.055,665
111.81,27.232,111.811817,5.484,1078
111.82,9.304,111.8191,1.401,1078
111.83,27.232,111.832516,7.912,1078
111.84,9.304,111.839239,2.625,1078
111.85,26.408,111.851071,3.251,1078
111.86,15.6,111.859877,2.635,975
111.87,31.2,111.870705,5.813,975
111.88,21.304,111.880244,1.846,1149
111.89,12.112,111.894315,12.419,1514
111.9,12.112,111.894315,12.419,1514
111.91,10.256,111.909902,15.587,1514
111.92,0,111.91682,6.918,1282
111.93,12.112,111.934571,17.751,1514
111.94,12.112,111.934571,17.751,1514
111.95,0,111.949621,15.05,1514
111.96,12.112,111.96446,14.839,1514
111.97,1.464,111.96446,14.839,1514
111.98,13.248,111.979397,1.912,85
111.99,37.16,111.990886,6.667,1514
112,24.224,111.998476,1.792,526
112.01,31.272,112.010934,2.608,881
112.02,24.176,112.016017,1.952,1514
112.03,0,112.029536,3.286,1078
112.04,12.112,112.04342,13.884,1514
112.05,12.112,112.04342,13.884,1514
112.06,18.712,112.057921,14.501,1514
112.07,1.872,112.069486,5.993,861
112.08,12.488,112.082276,7.132,78
112.09,5.84,112.089856,3.74,85
112.1,25.864,112.101558,7.023,1078
112.11,32.024,112.109664,3.055,1514
112.12,23.608,112.118863,3.49,1514
112.13,0,112.12863,2.154,1078
112.14,0,112.151198,22.568,1514
112.15,24.224,112.151198,22.568,1514
112.16,10.4,112.151856,0.658,1514
112.17,0,112.168916,17.06,1300
112.18,43.232,112.180537,11.621,1514
112.19,16.936,112.190417,1.362,563
112.2,33.432,112.199526,1.543,476
112.21,0,112.209712,2.382,1151
112.22,0,112.209712,2.382,1151
112.23,0,112.242304,32.592,1514
112.24,24.224,112.242304,32.592,1514
112.25,27.576,112.247912,5.608,1514
112.26,7.8,112.260773,2,975
112.27,0,112.260773,2,975
112.28,39,112.280457,19.684,975
112.29,15.6,112.292858,6.48,975
112.3,15.6,112.297923,5.065,975
112.31,23.4,112.309235,6.893,975
112.32,15.6,112.319118,2.852,975
112.33,9.488,112.329284,6.153,975
112.34,24.224,112.342541,8.403,1514
112.35,17.632,112.353782,8.493,1126
112.36,0,112.35603,2.248,1078
112.37,12.112,112.375811,19.781,1514
112.38,12.112,112.384013,8.202,1514
112.39,0,112.384013,8.202,1514
112.4,35.368,112.400065,16.052,1393
112.41,21.016,112.407788,4.973,1514
112.42,28.568,112.421082,3.595,1514
112.43,15.336,112.429814,0.05,79
112.44,24.224,112.435755,2.994,1514
112.45,2.544,112.449956,2.771,1514
112.46,24.224,112.460022,2.795,1514
112.47,6.312,112.468668,8.646,1514
112.48,15.616,112.481088,3.902,84
112.49,36.336,112.488943,2.32,84
112.5,0.608,112.500843,4.043,76
112.51,0,112.500843,4.043,76
112.52,1.664,112.5255,24.657,208
112.53,12.112,112.531699,6.199,1514
112.54,0,112.531699,6.199,1514
112.55,20.064,112.554364,22.665,1514
112.56,4.88,112.556502,2.138,994
112.57,12.112,112.569772,1.514,525
112.58,24.224,112.582622,6.256,1514
112.59,21.36,112.592328,5.12,78
112.6,25.328,112.601233,2.804,1514
112.61,24.864,112.612064,4.661,1514
112.62,12.112,112.621026,2.817,1514
112.63,30.032,112.632169,11.143,1514
112.64,118.472,112.640113,5.981,1514
112.65,52.64,112.649739,4.918,1360
112.66,0,112.657039,3.296,1078
112.67,12.112,112.679335,22.296,1514
112.68,21.184,112.680304,0.969,1514
112.69,1.976,112.697035,16.239,78
112.7,0.688,112.699206,0.152,91
112.71,6.704,112.713637,8.473,78
112.72,43.8,112.720005,4.333,84
112.73,0.68,112.733859,8.983,85
112.74,4.2,112.744038,10.179,525
112.75,0,112.744038,10.179,525
112.76,43.792,112.762533,18.495,79
112.77,0,112.768021,0.539,853
112.78,0.632,112.780711,12.69,79
112.79,0,112.780711,12.69,79
112.8,36.336,112.804273,23.562,1514
112.81,7.968,112.805879,0.657,1514
112.82,0,112.814195,8.316,996
112.83,0,112.842707,28.512,1078
112.84,24.72,112.842707,28.512,1078
112.85,35.944,112.852815,6.311,1514
112.86,1.888,112.859655,0.904,77
112.87,0,112.868853,1.016,79
112.88,0,112.868853,1.016,79
112.89,51.224,112.894672,25.819,208
112.9,0,112.899597,0.129,86
112.91,0,112.899597,0.129,86
112.92,0,112.930076,30.479,1514
112.93,46.328,112.930076,30.479,1514
112.94,4.384,112.939093,0.058,85
112.95,0,112.948269,9.176,548
112.96,0,112.948269,9.176,548
112.97,0,112.987619,39.35,1514
112.98,12.112,112.987619,39.35,1514
112.99,0,112.987619,39.35,1514
113,42.44,113.006019,18.4,1514
113.01,0,113.007271,0.023,77
113.02,0,113.007271,0.023,77
113.03,0,113.047,39.729,98
113.04,46.392,113.047,39.729,98
113.05,0.632,113.050021,0.133,79
113.06,1.288,113.067832,17.811,79
113.07,45.744,113.070637,2.752,82
113.08,10.272,113.079002,0.026,1514
113.09,1.096,113.088032,0.254,208
113.1,0,113.09898,10.948,137
113.11,0,113.09898,10.948,137
113.12,0,113.13598,37,1514
113.13,36.336,113.13598,37,1514
113.14,37.72,113.138474,0.048,1514
113.15,34.184,113.15054,7.602,1514
113.16,4.248,113.165672,14.751,531
113.17,0.848,113.165672,14.751,531
113.18,25.072,113.179829,14.157,106
113.19,0,113.182159,0.435,1514
113.2,12.112,113.209579,27.42,1514
113.21,0,113.209579,27.42,1514
113.22,45.76,113.22453,14.951,964
113.23,10.296,113.225917,0.523,1514
113.24,0,113.238675,4.237,84
113.25,5.312,113.251938,13.263,548
113.26,0,113.252431,0.493,116
113.27,12.112,113.278178,25.747,1514
113.28,0,113.278178,25.747,1514
113.29,23.6,113.29109,12.912,1514
113.3,2.296,113.302019,8.589,116
113.31,0,113.306042,2.888,84
113.32,0,113.306042,2.888,84
113.33,0,113.349828,43.786,1514
113.34,12.112,113.349828,43.786,1514
113.35,0,113.349828,43.786,1514
113.36,0,113.349828,43.786,1514
113.37,28.128,113.371681,21.853,1514
113.38,24.224,113.371885,0.017,85
113.39,13.12,113.389707,0.642,1514
113.4,6.048,113.403848,10.121,548
113.41,37.872,113.412078,8.188,1078
113.42,0.632,113.42475,9.861,79
113.43,34.384,113.431492,6.742,106
113.44,0,113.438846,1.616,106
113.45,0,113.438846,1.616,106
113.46,0,113.438846,1.616,106
113.47,0,113.483424,44.578,76
113.48,45.52,113.483424,44.578,76
113.49,0.608,113.488728,0.079,79
113.5,8.624,113.500196,4.399,1078
113.51,51.248,113.51393,13.734,1514
113.52,0,113.519691,0.064,79
113.53,0.68,113.53181,12.119,85
113.54,0,113.53181,12.119,85
113.55,17.952,113.551974,20.164,730
113.56,71.952,113.560295,0.948,1514
113.57,46.8,113.573262,7.714,975
113.58,0,113.577046,0.383,975
113.59,0,113.577046,0.383,975
113.6,0,113.577046,0.383,975
113.61,0,113.626555,49.509,975
113.62,23.4,113.626555,49.509,975
113.63,73.536,113.630492,3.083,975
113.64,52.496,113.640048,0.657,1514
113.65,24.224,113.649128,0.792,1514
113.66,10.536,113.662742,10.254,613
113.67,1.248,113.675164,12.181,78
113.68,54.168,113.675272,0.108,78
113.69,0.624,113.690038,0.135,78
113.7,0.624,113.706612,16.574,78
113.71,0.624,113.710078,3.466,78
113.72,0,113.710078,3.466,78
113.73,0,113.710078,3.466,78
113.74,0,113.764616,54.538,1514
113.75,0,113.764616,54.538,1514
113.76,69.744,113.764616,54.538,1514
113.77,36.336,113.769843,1.879,1514
113.78,0,113.776591,0.609,1514
113.79,1.496,113.791757,15.166,108
113.8,12.112,113.79188,0.123,79
113.81,38.152,113.809444,17.564,1514
113.82,0.672,113.819388,0.099,76
113.83,0,113.82935,9.962,84
113.84,0,113.82935,9.962,84
113.85,0,113.82935,9.962,84
113.86,0,113.878117,48.767,1514
113.87,12.112,113.878117,48.767,1514
113.88,24.224,113.878117,48.767,1514
113.89,40.424,113.891817,8.137,1252
113.9,0,113.893905,0.614,1514
113.91,0,113.921635,27.73,1514
113.92,25.672,113.921635,27.73,1514
113.93,36.336,113.935338,12.152,1514
113.94,18.464,113.937938,0.646,1514
113.95,13.008,113.953184,6.808,548
113.96,0,113.955526,2.342,1078
113.97,0,113.955526,2.342,1078
113.98,0,113.955526,2.342,1078
113.99,0,114.021567,66.041,1514
114,0,114.021567,66.041,1514
114.01,0,114.021567,66.041,1514
114.02,96.784,114.021567,66.041,1514
114.03,4.928,114.029896,1.058,1514
114.04,1.256,114.041169,10.994,79
114.05,5.76,114.050747,5.031,116
114.06,36.336,114.060111,4.304,1514
114.07,0,114.069962,0.607,1514
114.08,0,114.069962,0.607,1514
114.09,0,114.069962,0.607,1514
114.1,0,114.069962,0.607,1514
114.11,0,114.069962,0.607,1514
114.12,0,114.069962,0.607,1514
114.13,0,114.179626,109.664,1514
114.14,0,114.179626,109.664,1514
114.15,0,114.179626,109.664,1514
114.16,0,114.179626,109.664,1514
114.17,12.112,114.179626,109.664,1514
114.18,0,114.179626,109.664,1514
114.19,0,114.179626,109.664,1514
114.2,0,114.179626,109.664,1514
114.21,0,114.179626,109.664,1514
114.22,0,114.179626,109.664,1514
114.23,0,114.179626,109.664,1514
114.24,0,114.179626,109.664,1514
114.25,0,114.179626,109.664,1514
114.26,0,114.179626,109.664,1514
114.27,0,114.179626,109.664,1514
114.28,0,114.37615,196.524,1078
114.29,0,114.37615,196.524,1078
114.3,0,114.37615,196.524,1078
114.31,0,114.37615,196.524,1078
114.32,0,114.37615,196.524,1078
114.33,0,114.37615,196.524,1078
114.34,0,114.37615,196.524,1078
114.35,0,114.37615,196.524,1078
114.36,0,114.37615,196.524,1078
114.37,8.624,114.37615,196.524,1078
114.38,0,114.37615,196.524,1078
114.39,0,114.37615,196.524,1078
114.4,0,114.37615,196.524,1078
114.41,0,114.37615,196.524,1078
114.42,0,114.37615,196.524,1078
114.43,0,114.37615,196.524,1078
114.44,0,114.37615,196.524,1078
114.45,0,114.37615,196.524,1078
114.46,0,114.37615,196.524,1078
114.47,0,114.37615,196.524,1078
114.48,0,114.37615,196.524,1078
114.49,0,114.37615,196.524,1078
114.5,0,114.37615,196.524,1078
114.51,0,114.37615,196.524,1078
114.52,0,114.37615,196.524,1078
114.53,0,114.67607,299.92,1514
114.54,0,114.67607,299.92,1514
114.55,0,114.67607,299.92,1514
114.56,0,114.67607,299.92,1514
114.57,0,114.67607,299.92,1514
114.58,0,114.67607,299.92,1514
114.59,0,114.67607,299.92,1514
114.6,0,114.67607,299.92,1514
114.61,0,114.67607,299.92,1514
114.62,0,114.67607,299.92,1514
114.63,0,114.67607,299.92,1514
114.64,0,114.67607,299.92,1514
114.65,0,114.67607,299.92,1514
114.66,0,114.67607,299.92,1514
114.67,51.608,114.67607,299.92,1514
114.68,0,114.676251,0.024,85
114.69,0,114.676251,0.024,85
114.7,0,114.676251,0.024,85
114.71,0,114.676251,0.024,85
114.72,0,114.676251,0.024,85
114.73,0,114.676251,0.024,85
114.74,0,114.676251,0.024,85
114.75,0,114.676251,0.024,85
114.76,0,114.676251,0.024,85
114.77,0,114.676251,0.024,85
114.78,0,114.676251,0.024,85
114.79,0,114.676251,0.024,85
114.8,0,114.676251,0.024,85
114.81,0,114.676251,0.024,85
114.82,0,114.955952,279.701,1514
114.83,0,114.955952,279.701,1514
114.84,0,114.955952,279.701,1514
114.85,0,114.955952,279.701,1514
114.86,0,114.955952,279.701,1514
114.87,0,114.955952,279.701,1514
114.88,0,114.955952,279.701,1514
114.89,0,114.955952,279.701,1514
114.9,0,114.955952,279.701,1514
114.91,0,114.955952,279.701,1514
114.92,0,114.955952,279.701,1514
114.93,0,114.955952,279.701,1514
114.94,0,114.955952,279.701,1514
114.95,43.544,114.955952,279.701,1514
114.96,0,114.956074,0.017,84
114.97,0,114.956074,0.017,84
114.98,0,114.956074,0.017,84
114.99,0,114.956074,0.017,84
115,0,114.956074,0.017,84
115.01,0,114.956074,0.017,84
115.02,0,114.956074,0.017,84
115.03,0,114.956074,0.017,84
115.04,0,114.956074,0.017,84
115.05,0,114.956074,0.017,84
115.06,0,114.956074,0.017,84
115.07,0,114.956074,0.017,84
115.08,0,114.956074,0.017,84
115.09,0,114.956074,0.017,84
115.1,0,115.236002,279.928,561
115.11,0,115.236002,279.928,561
115.12,0,115.236002,279.928,561
115.13,0,115.236002,279.928,561
115.14,0,115.236002,279.928,561
115.15,0,115.236002,279.928,561
115.16,0,115.236002,279.928,561
115.17,0,115.236002,279.928,561
115.18,0,115.236002,279.928,561
115.19,0,115.236002,279.928,561
115.2,0,115.236002,279.928,561
115.21,0,115.236002,279.928,561
115.22,0,115.236002,279.928,561
115.23,28.136,115.236002,279.928,561
115.24,0,115.236162,0.018,1514
115.25,0,115.236162,0.018,1514
115.26,0,115.236162,0.018,1514
115.27,0,115.236162,0.018,1514
115.28,0,115.236162,0.018,1514
115.29,0,115.236162,0.018,1514
115.3,0,115.355967,119.805,1514
115.31,0,115.355967,119.805,1514
115.32,0,115.355967,119.805,1514
115.33,0,115.355967,119.805,1514
115.34,0,115.355967,119.805,1514
115.35,61.512,115.355967,119.805,1514
115.36,0,115.356138,0.02,119
115.37,0,115.356138,0.02,119
115.38,0,115.356138,0.02,119
115.39,0,115.356138,0.02,119
115.4,0,115.356138,0.02,119
115.41,0,115.455964,99.826,1514
115.42,0,115.455964,99.826,1514
115.43,0,115.455964,99.826,1514
115.44,0,115.455964,99.826,1514
115.45,24.224,115.455964,99.826,1514
115.46,0,115.456027,0.063,1514
115.47,12.112,115.475281,19.254,1514
115.48,12.112,115.475281,19.254,1514
115.49,4.56,115.488995,13.714,1514
115.5,0,115.49928,2.298,79
115.51,0,115.49928,2.298,79
115.52,0,115.49928,2.298,79
115.53,0,115.49928,2.298,79
115.54,0,115.49928,2.298,79
115.55,0,115.49928,2.298,79
115.56,0,115.49928,2.298,79
