Time (s),Speed (m/s),Distance (m),Height (m)
231.11,0.8,5.78,27.9
231.148,0.8,5.79,27.8
231.151,0.8,5.79,27.8
231.153,0.8,5.79,27.8
231.169,0.8,5.79,27.8
231.303,0.8,5.8,27.7
231.306,0.8,5.8,27.7
231.309,0.8,5.8,27.7
231.315,0.8,5.8,27.7
231.396,0.8,5.81,27.6
231.501,0.8,5.82,27.5
231.504,0.8,5.82,27.5
231.508,0.8,5.82,27.5
231.512,0.8,5.82,27.5
231.608,0.8,5.82,27.4
231.614,0.8,5.82,27.4
231.622,0.8,5.82,27.4
231.637,0.8,5.82,27.4
231.756,0.8,5.82,27.3
231.766,0.8,5.82,27.3
231.773,0.8,5.82,27.3
231.781,0.8,5.82,27.3
231.858,0.8,5.82,27.3
231.869,0.8,5.82,27.3
231.87,0.8,5.82,27.3
231.876,0.8,5.82,27.3
232.029,0.8,5.82,27.2
232.088,0.8,5.82,27.2
232.095,0.8,5.82,27.2
232.099,0.8,5.82,27.2
232.204,0.8,5.82,27.1
232.215,0.8,5.82,27.1
232.222,0.8,5.82,27.1
232.233,0.8,5.82,27.1
232.486,0.8,5.82,26.9
232.494,0.8,5.82,26.9
232.501,0.8,5.82,26.9
232.509,0.8,5.82,26.9
232.584,0.8,5.82,26.8
232.595,0.8,5.82,26.8
232.719,0.8,5.82,26.7
232.73,0.8,5.82,26.7
232.735,0.8,5.82,26.7
232.747,0.8,5.82,26.7
232.824,0.8,5.83,26.5
232.827,0.8,5.83,26.5
232.843,0.8,5.83,26.5
232.857,0.8,5.83,26.5
232.959,0.8,5.84,26.4
232.965,0.8,5.84,26.4
232.97,0.8,5.84,26.4
232.973,0.8,5.84,26.4
233.059,0.8,5.85,26.3
233.135,0.8,5.85,26.2
233.14,0.8,5.85,26.2
233.148,0.8,5.85,26.2
233.153,0.8,5.85,26.2
233.282,0.8,5.86,26
233.285,0.8,5.86,26
233.297,0.8,5.86,26
233.306,0.8,5.86,26
233.383,0.8,5.86,26
233.392,0.8,5.86,26
233.406,0.8,5.86,26
233.409,0.8,5.86,26
233.509,0.8,5.87,25.9
233.512,0.8,5.87,25.9
233.517,0.8,5.87,25.9
233.524,0.8,5.87,25.9
233.688,0.8,5.88,25.7
233.695,0.8,5.88,25.7
233.706,0.8,5.88,25.7
233.712,0.8,5.88,25.7
233.802,0.9,5.88,25.6
233.808,0.9,5.88,25.6
233.814,0.9,5.88,25.6
233.828,0.9,5.88,25.6
233.908,0.9,5.88,25.5
233.919,0.9,5.88,25.5
233.923,0.9,5.88,25.5
233.932,0.9,5.88,25.5
234.018,0.8,5.88,25.4
234.026,0.8,5.88,25.4
234.034,0.8,5.88,25.4
234.05,0.8,5.88,25.4
234.162,0.8,5.88,25.3
234.223,0.8,5.88,25.3
234.228,0.8,5.88,25.3
234.235,0.8,5.88,25.3
234.298,0.7,5.88,25.3
234.303,0.7,5.88,25.3
234.309,0.7,5.88,25.3
234.313,0.7,5.88,25.3
234.433,0.7,5.88,25.2
234.439,0.7,5.88,25.2
234.441,0.7,5.88,25.2
234.45,0.7,5.88,25.2
234.521,0.7,5.88,25.1
234.535,0.7,5.88,25.1
234.541,0.7,5.88,25.1
234.638,0.7,5.88,25.1
234.653,0.7,5.88,25.1
234.656,0.7,5.88,25.1
234.666,0.7,5.88,25.1
234.736,0.8,5.88,25
234.745,0.8,5.88,25
234.752,0.8,5.88,25
234.825,0.8,5.89,24.9
234.834,0.8,5.89,24.9
234.846,0.8,5.89,24.9
234.849,0.8,5.89,24.9
234.943,0.8,5.89,24.8
234.951,0.8,5.89,24.8
234.954,0.8,5.89,24.8
234.987,0.8,5.89,24.8
235.056,0.8,5.9,24.7
235.08,0.8,5.9,24.7
235.088,0.8,5.9,24.7
235.096,0.8,5.9,24.7
235.22,0.8,5.9,24.6
235.276,0.8,5.9,24.6
235.28,0.8,5.9,24.6
235.285,0.8,5.9,24.6
235.365,0.9,5.91,24.4
235.374,0.9,5.91,24.4
235.377,0.9,5.91,24.4
235.38,0.9,5.91,24.4
235.532,0.8,5.92,24.3
235.534,0.8,5.92,24.3
235.547,0.8,5.92,24.3
235.557,0.8,5.92,24.3
235.696,0.8,5.93,24
235.7,0.8,5.93,24
235.711,0.8,5.93,24
235.715,0.8,5.93,24
235.8,0.8,5.93,23.9
235.804,0.8,5.93,23.9
235.807,0.8,5.93,23.9
235.811,0.8,5.93,23.9
235.921,0.8,5.94,23.8
235.927,0.8,5.94,23.8
235.93,0.8,5.94,23.8
235.934,0.8,5.94,23.8
236.189,0.8,5.94,23.7
236.198,0.8,5.94,23.7
236.208,0.8,5.94,23.7
236.214,0.8,5.94,23.7
236.309,0.8,5.94,23.6
236.388,0.8,5.94,23.5
236.394,0.8,5.94,23.5
236.405,0.8,5.94,23.5
236.463,0.8,5.94,23.5
236.48,0.8,5.94,23.5
236.487,0.8,5.94,23.5
236.493,0.8,5.94,23.5
236.592,0.8,5.94,23.4
236.596,0.8,5.94,23.4
236.604,0.8,5.94,23.4
236.611,0.8,5.94,23.4
236.684,0.8,5.95,23.3
236.689,0.8,5.95,23.3
236.695,0.8,5.95,23.3
236.717,0.8,5.95,23.3
236.79,0.8,5.95,23.1
236.798,0.8,5.95,23.1
236.805,0.8,5.95,23.1
236.809,0.8,5.95,23.1
236.908,0.8,5.94,23
236.918,0.8,5.94,23
236.922,0.8,5.94,23
236.925,0.8,5.94,23
237.037,0.8,5.94,22.8
237.04,0.8,5.94,22.8
237.057,0.8,5.94,22.8
237.061,0.8,5.94,22.8
237.147,0.7,5.94,22.8
237.156,0.7,5.94,22.8
237.167,0.7,5.94,22.8
237.172,0.7,5.94,22.8
237.266,0.8,5.94,22.7
237.27,0.8,5.94,22.7
237.276,0.8,5.94,22.7
237.284,0.8,5.94,22.7
237.429,0.8,5.95,22.5
237.492,0.8,5.95,22.5
237.504,0.8,5.95,22.5
237.507,0.8,5.95,22.5
237.564,0.8,5.95,22.4
237.572,0.8,5.95,22.4
237.577,0.8,5.95,22.4
237.58,0.8,5.95,22.4
237.653,0.8,5.95,22.3
237.717,0.8,5.95,22.2
237.72,0.8,5.95,22.2
237.724,0.8,5.95,22.2
237.834,0.8,5.95,22.1
237.84,0.8,5.95,22.1
237.846,0.8,5.95,22.1
237.857,0.8,5.95,22.1
237.941,0.8,5.95,22.1
237.947,0.8,5.95,22.1
237.95,0.8,5.95,22.1
237.953,0.8,5.95,22.1
238.135,0.8,5.96,22
238.148,0.8,5.96,22
238.157,0.8,5.96,22
238.167,0.8,5.96,22
238.262,0.8,5.96,21.9
238.269,0.8,5.96,21.9
238.273,0.8,5.96,21.9
238.282,0.8,5.96,21.9
238.396,0.8,5.96,21.8
238.401,0.8,5.96,21.8
238.408,0.8,5.96,21.8
238.418,0.8,5.96,21.8
238.556,0.8,5.97,21.7
238.616,0.8,5.97,21.7
238.619,0.8,5.97,21.7
238.622,0.8,5.97,21.7
238.665,0.8,5.97,21.6
238.672,0.8,5.97,21.6
238.678,0.8,5.97,21.6
238.708,0.8,5.97,21.6
238.764,0.8,5.97,21.5
238.785,0.8,5.97,21.5
238.805,0.8,5.97,21.5
238.81,0.8,5.97,21.5
238.896,0.8,5.98,21.5
238.906,0.8,5.98,21.5
238.916,0.8,5.98,21.5
238.935,0.8,5.98,21.5
239.009,0.8,5.98,21.4
239.012,0.8,5.98,21.4
239.024,0.8,5.98,21.4
239.03,0.8,5.98,21.4
239.114,0.8,5.98,21.3
239.123,0.8,5.98,21.3
239.133,0.8,5.98,21.3
239.151,0.8,5.98,21.3
239.282,0.8,6,21.1
239.293,0.8,6,21.1
239.302,0.8,6,21.1
239.314,0.8,6,21.1
239.373,0.8,6.01,21
239.436,0.8,6.01,20.9
239.442,0.8,6.01,20.9
239.457,0.8,6.01,20.9
239.521,0.9,6.01,20.8
239.526,0.9,6.01,20.8
239.619,0.9,6.02,20.7
239.694,0.9,6.02,20.7
239.707,0.9,6.02,20.7
239.713,0.9,6.02,20.7
239.729,0.8,6.02,20.6
239.737,0.8,6.02,20.6
239.741,0.8,6.02,20.6
239.75,0.8,6.02,20.6
239.854,0.8,6.02,20.5
239.86,0.8,6.02,20.5
239.877,0.8,6.02,20.5
239.879,0.8,6.02,20.5
239.954,0.8,6.02,20.4
239.957,0.8,6.02,20.4
239.959,0.8,6.02,20.4
239.966,0.8,6.02,20.4
240.08,0.8,6.02,20.3
240.088,0.8,6.02,20.3
240.091,0.8,6.02,20.3
240.099,0.8,6.02,20.3
240.24,0.8,6.02,20.1
240.247,0.8,6.02,20.1
240.256,0.8,6.02,20.1
240.27,0.8,6.02,20.1
240.345,0.8,6.02,20
240.35,0.8,6.02,20
240.354,0.8,6.02,20
240.369,0.8,6.02,20
240.472,0.8,6.03,19.9
240.477,0.8,6.03,19.9
240.48,0.8,6.03,19.9
240.484,0.8,6.03,19.9
240.567,0.8,6.03,19.8
240.573,0.8,6.03,19.8
240.585,0.8,6.03,19.8
240.593,0.8,6.03,19.8
240.667,0.8,6.03,19.8
240.729,0.8,6.03,19.8
240.733,0.8,6.03,19.8
240.736,0.8,6.03,19.8
240.799,0.8,6.04,19.7
240.802,0.8,6.04,19.7
240.809,0.8,6.04,19.7
240.82,0.8,6.04,19.7
240.934,0.8,6.04,19.6
240.942,0.8,6.04,19.6
240.95,0.8,6.04,19.6
240.953,0.8,6.04,19.6
241.03,0.8,6.05,19.5
241.033,0.8,6.05,19.5
241.042,0.8,6.05,19.5
241.059,0.8,6.05,19.5
241.147,0.8,6.05,19.4
241.16,0.8,6.05,19.4
241.167,0.8,6.05,19.4
241.17,0.8,6.05,19.4
241.293,0.8,6.05,19.3
241.307,0.8,6.05,19.3
241.309,0.8,6.05,19.3
241.314,0.8,6.05,19.3
241.424,0.8,6.07,19.1
241.434,0.8,6.07,19.1
241.441,0.8,6.07,19.1
241.452,0.8,6.07,19.1
241.549,0.8,6.08,19
241.555,0.8,6.08,19
241.558,0.8,6.08,19
241.565,0.8,6.08,19
241.638,0.8,6.08,18.9
241.641,0.8,6.08,18.9
241.652,0.8,6.08,18.9
241.767,0.9,6.09,18.8
241.817,0.9,6.09,18.8
241.824,0.9,6.09,18.8
241.848,0.9,6.09,18.8
241.876,0.8,6.1,18.7
241.88,0.8,6.1,18.7
241.884,0.8,6.1,18.7
241.892,0.8,6.1,18.7
242.006,0.8,6.1,18.7
242.012,0.8,6.1,18.7
242.017,0.8,6.1,18.7
242.021,0.8,6.1,18.7
242.1,0.8,6.11,18.5
242.103,0.8,6.11,18.5
242.11,0.8,6.11,18.5
242.116,0.8,6.11,18.5
242.219,0.8,6.12,18.4
242.222,0.8,6.12,18.4
242.225,0.8,6.12,18.4
242.234,0.8,6.12,18.4
242.326,0.8,6.12,18.3
242.343,0.8,6.12,18.3
242.352,0.8,6.12,18.3
242.368,0.8,6.12,18.3
242.479,0.8,6.13,18.2
242.488,0.8,6.13,18.2
242.501,0.8,6.13,18.2
242.504,0.8,6.13,18.2
242.572,0.8,6.14,18.1
242.578,0.8,6.14,18.1
242.592,0.8,6.14,18.1
242.595,0.8,6.14,18.1
242.687,0.8,6.15,18
242.696,0.8,6.15,18
242.702,0.8,6.15,18
242.706,0.8,6.15,18
242.861,0.8,6.17,17.9
242.907,0.8,6.17,17.9
242.91,0.8,6.17,17.9
242.913,0.8,6.17,17.9
243.011,0.8,6.18,17.8
243.016,0.8,6.18,17.8
243.021,0.8,6.18,17.8
243.03,0.8,6.18,17.8
243.133,0.8,6.18,17.7
243.137,0.8,6.18,17.7
243.14,0.8,6.18,17.7
243.144,0.8,6.18,17.7
243.219,0.8,6.18,17.6
243.412,0.8,6.18,17.5
243.416,0.8,6.18,17.5
243.423,0.8,6.18,17.5
243.437,0.8,6.18,17.5
243.55,0.8,6.18,17.4
243.564,0.8,6.18,17.4
243.592,0.8,6.18,17.4
243.595,0.8,6.18,17.4
243.667,0.8,6.18,17.3
243.731,0.8,6.19,17.2
243.735,0.8,6.19,17.2
243.742,0.8,6.19,17.2
243.844,0.8,6.19,17.2
243.85,0.8,6.19,17.2
243.853,0.8,6.19,17.2
243.876,0.8,6.19,17.2
243.968,0.8,6.19,17
243.977,0.8,6.19,17
243.981,0.8,6.19,17
243.986,0.8,6.19,17
244.084,0.8,6.19,16.9
244.101,0.8,6.19,16.9
244.117,0.8,6.19,16.9
244.124,0.8,6.19,16.9
244.235,0.8,6.19,16.9
244.245,0.8,6.19,16.9
244.249,0.8,6.19,16.9
244.257,0.8,6.19,16.9
244.378,0.8,6.19,16.8
244.38,0.8,6.19,16.8
244.386,0.8,6.19,16.8
244.398,0.8,6.19,16.8
244.468,0.8,6.18,16.7
244.479,0.8,6.18,16.7
244.49,0.8,6.18,16.7
244.521,0.8,6.18,16.7
244.573,0.8,6.18,16.6
244.582,0.8,6.18,16.6
244.588,0.8,6.18,16.6
244.672,0.8,6.17,16.5
244.681,0.8,6.17,16.5
244.698,0.8,6.17,16.5
244.713,0.8,6.17,16.5
244.768,0.8,6.17,16.4
244.777,0.8,6.17,16.4
244.83,0.8,6.16,16.3
244.843,0.8,6.16,16.3
244.873,0.9,6.16,16.3
244.881,0.9,6.16,16.3
244.986,0.9,6.15,16.2
244.999,0.9,6.15,16.2
245.01,0.9,6.15,16.2
245.02,0.9,6.15,16.2
245.072,0.8,6.15,16
245.159,0.8,6.15,16.1
245.172,0.8,6.15,16.1
245.184,0.8,6.15,16.1
245.305,0.8,6.16,15.9
245.311,0.8,6.16,15.9
245.319,0.8,6.16,15.9
245.328,0.8,6.16,15.9
245.501,0.8,6.17,15.7
245.51,0.8,6.17,15.7
245.526,0.8,6.17,15.7
245.55,0.8,6.17,15.7
245.669,0.8,6.17,15.6
245.674,0.8,6.17,15.6
245.681,0.8,6.17,15.6
245.692,0.8,6.17,15.6
245.761,0.8,6.17,15.5
245.771,0.8,6.17,15.5
245.782,0.8,6.17,15.5
245.797,0.8,6.17,15.5
245.87,0.9,6.17,15.5
245.878,0.9,6.17,15.5
245.884,0.9,6.17,15.5
245.972,0.9,6.17,15.5
245.982,0.8,6.17,15.4
245.989,0.8,6.17,15.4
245.992,0.8,6.17,15.4
246,0.8,6.17,15.4
246.092,0.7,6.17,15.2
246.099,0.7,6.17,15.2
246.103,0.7,6.17,15.2
246.108,0.7,6.17,15.2
246.184,0.7,6.17,15.1
246.187,0.7,6.17,15.1
246.192,0.7,6.17,15.1
246.202,0.7,6.17,15.1
246.279,0.8,6.17,15.1
246.284,0.8,6.17,15.1
246.288,0.8,6.17,15.1
246.292,0.8,6.17,15.1
246.485,0.8,6.17,14.9
246.489,0.8,6.17,14.9
246.504,0.8,6.17,14.9
246.509,0.8,6.17,14.9
246.677,0.9,6.17,14.7
246.683,0.9,6.17,14.7
246.688,0.9,6.17,14.7
246.697,0.9,6.17,14.7
246.901,0.91,6.16,14.5
246.962,0.91,6.16,14.5
246.964,0.81,6.15,14.4
246.967,0.81,6.15,14.4
247.014,0.81,6.14,14.3
247.02,0.81,6.14,14.3
247.03,0.81,6.14,14.3
247.034,0.81,6.14,14.3
247.184,0.81,6.14,14.3
247.189,0.81,6.14,14.3
247.2,0.81,6.14,14.3
247.208,0.81,6.14,14.3
247.38,0.71,6.12,14.1
247.39,0.71,6.12,14.1
247.393,0.71,6.12,14.1
247.397,0.71,6.12,14.1
247.63,0.81,6.1,14
247.653,0.81,6.1,14
247.667,0.81,6.1,14
247.676,0.81,6.1,14
247.799,0.8,6.08,13.8
247.803,0.8,6.08,13.8
247.813,0.8,6.08,13.8
247.822,0.8,6.08,13.8
247.896,0.8,6.07,13.7
247.945,0.8,6.07,13.6
248.02,0.8,6.07,13.5
248.026,0.8,6.07,13.5
248.041,0.8,6.07,13.5
248.085,0.8,6.07,13.5
248.088,0.8,6.07,13.5
248.091,0.8,6.07,13.5
248.184,0.8,6.08,13.4
248.191,0.8,6.08,13.4
248.198,0.8,6.08,13.4
248.202,0.8,6.08,13.4
248.322,0.8,6.08,13.3
248.325,0.8,6.08,13.3
248.332,0.8,6.08,13.3
248.341,0.8,6.08,13.3
248.426,0.8,6.08,13.2
248.433,0.8,6.08,13.2
248.445,0.8,6.08,13.2
248.45,0.8,6.08,13.2
248.535,0.8,6.08,13.1
248.54,0.8,6.08,13.1
248.543,0.8,6.08,13.1
248.568,0.8,6.08,13.1
248.622,0.8,6.08,13
248.739,0.8,6.08,13
248.755,0.8,6.08,13
248.759,0.8,6.08,13
248.778,0.8,6.08,13
248.89,0.9,6.09,12.9
248.901,0.9,6.09,12.9
248.904,0.9,6.09,12.9
248.907,0.9,6.09,12.9
248.982,0.8,6.09,12.8
249.03,0.8,6.09,12.8
249.034,0.8,6.09,12.8
249.036,0.8,6.09,12.8
249.146,0.8,6.1,12.6
249.156,0.8,6.1,12.6
249.16,0.8,6.1,12.6
249.175,0.8,6.1,12.6
249.239,0.8,6.1,12.5
249.246,0.8,6.1,12.5
249.248,0.8,6.1,12.5
249.264,0.8,6.1,12.5
249.33,0.9,6.1,12.4
249.335,0.9,6.1,12.4
249.341,0.9,6.1,12.4
249.347,0.9,6.1,12.4
249.491,0.8,6.12,12.2
249.501,0.8,6.12,12.2
249.51,0.8,6.12,12.2
249.528,0.8,6.12,12.2
249.603,0.8,6.12,12.2
249.606,0.8,6.12,12.2
249.614,0.8,6.12,12.2
249.704,0.8,6.12,12.1
249.715,0.8,6.12,12.1
249.728,0.8,6.12,12.1
249.743,0.8,6.12,12.1
249.796,0.8,6.13,12
249.803,0.8,6.13,12
249.813,0.8,6.13,12
249.816,0.8,6.13,12
249.923,0.8,6.13,11.9
249.927,0.8,6.13,11.9
249.934,0.8,6.13,11.9
249.941,0.8,6.13,11.9
250.044,0.9,6.12,11.8
250.116,0.9,6.12,11.8
250.129,0.9,6.12,11.7
250.132,0.9,6.12,11.7
250.229,0.9,6.12,11.6
250.236,0.9,6.12,11.6
250.243,0.9,6.12,11.6
250.261,0.9,6.12,11.6
250.331,0.8,6.12,11.5
250.336,0.8,6.12,11.5
250.343,0.8,6.12,11.5
250.348,0.8,6.12,11.5
250.42,0.8,6.12,11.4
250.429,0.8,6.12,11.4
250.432,0.8,6.12,11.4
250.518,0.8,6.12,11.3
250.524,0.8,6.12,11.3
250.537,0.8,6.12,11.3
250.542,0.8,6.12,11.3
250.646,0.8,6.12,11.3
250.655,0.8,6.12,11.3
250.662,0.8,6.12,11.3
250.671,0.8,6.12,11.3
250.759,0.8,6.13,11.2
250.762,0.8,6.13,11.2
250.771,0.8,6.13,11.2
250.776,0.8,6.13,11.2
250.874,0.8,6.13,11.1
250.879,0.8,6.13,11.1
250.884,0.8,6.13,11.1
250.887,0.8,6.13,11.1
250.978,0.8,6.13,11
250.99,0.8,6.13,11
250.993,0.8,6.13,11
251.011,0.8,6.13,11
251.18,0.7,6.12,10.9
251.261,0.7,6.12,10.9
251.27,0.7,6.12,10.9
251.273,0.7,6.12,10.9
251.323,0.7,6.12,10.9
251.339,0.7,6.12,10.9
251.342,0.7,6.12,10.9
251.359,0.7,6.12,10.9
251.42,0.7,6.12,10.8
251.43,0.7,6.12,10.8
251.471,0.7,6.12,10.7
251.476,0.7,6.12,10.7
251.51,0.8,6.12,10.6
251.693,0.9,6.12,10.5
251.7,0.9,6.12,10.5
251.705,0.9,6.12,10.5
251.717,0.9,6.12,10.5
251.781,0.9,6.12,10.5
251.792,0.9,6.12,10.5
251.803,0.9,6.12,10.5
251.826,0.9,6.12,10.5
251.868,0.9,6.12,10.4
251.952,0.8,6.12,10.3
251.957,0.8,6.12,10.3
251.963,0.8,6.12,10.3
251.987,0.7,6.12,10.2
252.071,0.7,6.11,10.1
252.075,0.7,6.11,10.1
252.081,0.7,6.11,10.1
252.17,0.7,6.12,10
252.172,0.7,6.12,10
252.182,0.7,6.12,10
252.277,0.8,6.12,9.9
252.34,0.9,6.12,9.8
252.35,0.9,6.12,9.8
252.356,0.9,6.12,9.8
252.367,0.9,6.12,9.8
252.469,0.9,6.12,9.7
252.472,0.9,6.12,9.7
252.482,0.9,6.12,9.7
252.485,0.9,6.12,9.7
252.642,0.9,6.12,9.5
252.647,0.9,6.12,9.5
252.651,0.9,6.12,9.5
252.655,0.9,6.12,9.5
252.734,0.9,6.13,9.4
252.744,0.9,6.13,9.4
252.748,0.9,6.13,9.4
252.755,0.9,6.13,9.4
252.867,0.9,6.13,9.3
252.875,0.9,6.13,9.3
252.883,0.9,6.13,9.3
252.886,0.9,6.13,9.3
252.965,0.9,6.13,9.2
252.968,0.9,6.13,9.2
252.98,0.9,6.13,9.2
252.984,0.9,6.13,9.2
253.067,0.9,6.13,9.1
253.075,0.9,6.13,9.1
253.08,0.9,6.13,9.1
253.083,0.9,6.13,9.1
253.228,0.9,6.14,9
253.268,0.9,6.14,9
253.272,0.9,6.14,9
253.28,0.9,6.14,9
253.34,0.8,6.14,8.9
253.36,0.8,6.14,8.9
253.368,0.8,6.14,8.9
253.379,0.8,6.14,8.9
253.479,0.8,6.14,8.8
253.484,0.8,6.14,8.8
253.493,0.8,6.14,8.8
253.503,0.8,6.14,8.8
253.616,0.8,6.15,8.7
253.622,0.8,6.15,8.7
253.628,0.8,6.15,8.7
253.632,0.8,6.15,8.7
253.727,0.8,6.16,8.6
253.734,0.8,6.16,8.6
253.743,0.8,6.16,8.6
253.752,0.8,6.16,8.6
253.826,0.8,6.16,8.6
253.873,0.8,6.17,8.5
253.879,0.8,6.17,8.5
253.893,0.8,6.17,8.5
253.946,0.8,6.17,8.4
253.983,0.8,6.17,8.4
253.99,0.8,6.17,8.4
253.997,0.8,6.17,8.4
254.04,0.8,6.18,8.3
254.107,0.8,6.18,8.2
254.11,0.8,6.18,8.2
254.114,0.8,6.18,8.2
254.195,0.8,6.18,8.2
254.208,0.8,6.18,8.2
254.213,0.8,6.18,8.2
254.264,0.8,6.17,8.1
254.358,0.7,6.17,8
254.361,0.7,6.17,8
254.368,0.7,6.17,8
254.377,0.7,6.17,8
254.445,0.7,6.17,7.9
254.453,0.7,6.17,7.9
254.458,0.7,6.17,7.9
254.472,0.7,6.17,7.9
254.592,0.8,6.18,7.9
254.598,0.8,6.18,7.9
254.602,0.8,6.18,7.9
254.61,0.8,6.18,7.9
254.692,0.8,6.18,7.8
254.695,0.8,6.18,7.8
254.704,0.8,6.18,7.8
254.727,0.8,6.18,7.8
254.804,0.7,6.19,7.8
254.813,0.7,6.19,7.8
254.821,0.7,6.19,7.8
254.831,0.7,6.19,7.8
254.911,0.6,6.18,7.8
254.921,0.6,6.18,7.8
254.928,0.6,6.18,7.8
254.93,0.6,6.18,7.8
255,0.7,6.17,7.7
255.005,0.7,6.17,7.7
255.008,0.7,6.17,7.7
255.119,0.71,6.15,7.7
255.121,0.71,6.15,7.7
255.127,0.71,6.15,7.7
255.135,0.71,6.15,7.7
255.253,0.71,6.14,7.6
255.26,0.71,6.14,7.6
255.265,0.71,6.14,7.6
255.33,0.71,6.14,7.6
255.371,0.71,6.13,7.5
255.377,0.71,6.13,7.5
255.397,0.71,6.13,7.5
255.407,0.71,6.13,7.5
255.464,0.71,6.12,7.5
255.477,0.71,6.12,7.5
255.483,0.71,6.12,7.5
255.493,0.71,6.12,7.5
255.629,0.7,6.11,7.3
255.641,0.7,6.11,7.3
255.668,0.7,6.11,7.3
255.673,0.7,6.11,7.3
255.723,0.7,6.1,7.2
255.733,0.7,6.1,7.2
255.739,0.7,6.1,7.2
255.754,0.7,6.1,7.2
255.901,0.7,6.07,7.1
255.911,0.7,6.07,7.1
255.913,0.7,6.07,7.1
255.928,0.7,6.07,7.1
255.993,0.7,6.05,7
256.001,0.7,6.05,7
256.009,0.7,6.05,7
256.021,0.7,6.05,7
256.156,0.7,6.04,6.9
256.17,0.7,6.04,6.9
256.174,0.7,6.04,6.9
256.182,0.7,6.04,6.9
256.243,0.7,6.04,6.8
256.367,0.7,6.04,6.7
256.451,0.7,6.04,6.7
256.463,0.7,6.04,6.7
256.467,0.7,6.04,6.7
256.484,0.7,6.04,6.6
256.491,0.7,6.04,6.6
256.496,0.7,6.04,6.6
256.512,0.7,6.04,6.6
256.601,0.7,6.04,6.6
256.613,0.7,6.04,6.6
256.621,0.7,6.04,6.6
256.628,0.7,6.04,6.6
256.713,0.7,6.04,6.5
256.72,0.7,6.04,6.5
256.731,0.7,6.04,6.5
256.745,0.7,6.04,6.5
256.83,0.6,6.05,6.4
256.834,0.6,6.05,6.4
256.842,0.6,6.05,6.4
256.857,0.6,6.05,6.4
256.948,0.6,6.04,6.4
256.954,0.6,6.04,6.4
256.961,0.6,6.04,6.4
256.974,0.6,6.04,6.4
257.043,0.6,6.04,6.4
257.05,0.6,6.04,6.4
257.055,0.6,6.04,6.4
257.068,0.6,6.04,6.4
257.143,0.7,6.04,6.2
257.153,0.7,6.04,6.2
257.161,0.7,6.04,6.2
257.184,0.7,6.04,6.2
257.294,0.7,6.03,6.1
257.302,0.7,6.03,6.1
257.31,0.7,6.03,6.1
257.313,0.7,6.03,6.1
257.405,0.6,6.03,6
257.46,0.6,6.03,6
257.464,0.6,6.03,6
257.476,0.6,6.03,6
257.5,0.6,6.02,5.9
257.509,0.6,6.02,5.9
257.517,0.6,6.02,5.9
257.524,0.6,6.02,5.9
257.607,0.6,6.02,5.9
257.615,0.6,6.02,5.9
257.623,0.6,6.02,5.9
257.627,0.6,6.02,5.9
257.75,0.6,6.01,5.7
257.755,0.6,6.01,5.7
257.758,0.6,6.01,5.7
257.768,0.6,6.01,5.7
257.856,0.6,6.01,5.7
257.866,0.6,6.01,5.7
257.872,0.6,6.01,5.7
257.884,0.6,6.01,5.7
257.963,0.6,6.02,5.6
257.975,0.6,6.02,5.6
257.98,0.6,6.02,5.6
257.989,0.6,6.02,5.6
258.073,0.6,6.03,5.5
258.079,0.6,6.03,5.5
258.085,0.6,6.03,5.5
258.091,0.6,6.03,5.5
258.213,0.6,6.04,5.4
258.222,0.6,6.04,5.4
258.229,0.6,6.04,5.4
258.238,0.6,6.04,5.4
258.36,0.6,6.05,5.4
258.368,0.6,6.05,5.4
258.379,0.6,6.05,5.4
258.382,0.6,6.05,5.4
258.455,0.6,6.06,5.3
258.513,0.6,6.06,5.3
258.519,0.6,6.06,5.3
258.522,0.6,6.06,5.3
258.559,0.7,6.07,5.2
258.565,0.7,6.07,5.2
258.569,0.7,6.07,5.2
258.58,0.7,6.07,5.2
258.66,0.7,6.06,5.1
258.664,0.7,6.06,5.1
258.675,0.7,6.06,5.1
258.689,0.7,6.06,5.1
258.766,0.7,6.06,5
258.775,0.7,6.06,5
258.782,0.7,6.06,5
258.793,0.7,6.06,5
258.869,0.6,6.05,4.9
258.874,0.6,6.05,4.9
258.886,0.6,6.05,4.9
258.899,0.6,6.05,4.9
259.031,0.6,6.04,4.9
259.033,0.6,6.04,4.9
259.04,0.6,6.04,4.9
259.048,0.6,6.04,4.9
259.147,0.6,6.03,4.8
259.159,0.6,6.03,4.8
259.163,0.6,6.03,4.8
259.165,0.6,6.03,4.8
259.277,0.6,6.03,4.7
259.286,0.6,6.03,4.7
259.308,0.6,6.03,4.7
259.324,0.6,6.03,4.7
259.46,0.6,6.02,4.7
259.504,0.6,6.02,4.7
259.511,0.6,6.02,4.7
259.513,0.6,6.02,4.7
259.575,0.6,6.02,4.6
259.578,0.6,6.02,4.6
259.597,0.6,6.02,4.6
259.612,0.6,6.02,4.6
259.664,0.6,6.02,4.5
259.677,0.6,6.02,4.5
259.681,0.6,6.02,4.5
259.691,0.6,6.02,4.5
259.772,0.6,6.03,4.5
259.787,0.6,6.03,4.5
259.803,0.6,6.03,4.5
259.808,0.6,6.03,4.5
259.877,0.6,6.03,4.4
259.88,0.6,6.03,4.4
259.894,0.6,6.03,4.4
259.902,0.6,6.03,4.4
259.974,0.6,6.03,4.3
259.98,0.6,6.03,4.3
