Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
2022.66,2520.91,,0.531,0.21,0.484,1514,1514,1514
2993.46,3192.8,,0.213,0.219,0.723,1514,1514,1514
2803.1,1362.94,,0.187,0.667,0.547,1514,1514,1514
3292.08,2348.87,,0.196,0.212,0.607,1514,1514,1514
2471.57,2471.05,,0.593,0.222,0.516,1514,1514,1514
1967.59,3103.12,,0.155,0.224,0.671,1514,1514,1514
2981.42,2849.06,,0.072,0.227,0.478,1514,635,1514
2960.57,3187.2,,14.153,0.231,0.699,1514,1078,1514
3013.58,2888.43,,3.066,0.228,0.525,1514,102,1514
2905.1,2720.3,,10.667,0.04,0.674,73,79,1514
2835.26,2438.91,,3.443,38.235,1.435,1514,1514,1514
2953.97,3021.75,,0.53,0.536,0.076,1514,1514,1514
2835.47,3112.74,,0.202,0.227,1.361,1514,1514,1514
3194.88,2495.93,,0.2,0.07,1.888,689,1514,1514
3000.32,1633.46,,0.198,5.145,0.524,567,1514,1514
3296.82,1272.65,,0.565,5.801,0.66,76,1514,1514
3103.33,1917.43,,0.198,0.518,0.534,1078,1514,1514
3001.39,1237.89,,0.194,7.984,0.664,79,1514,1514
3250.07,1296.62,,0.038,22.424,0.494,1514,273,1514
3087.2,1234.28,,4.695,0.54,0.644,1514,76,1514
3035.64,2116.83,,4.471,0.26,0.522,1514,84,1514
3128.7,2329.98,,9.163,0.107,1.088,989,463,1514
2903.38,2417.3,,6.682,40.64,0.709,1514,102,1514
2958.6,2672.02,,3.32,0.471,0.505,1514,114,1514
1871.93,2332.31,,3.066,0.179,0.981,1296,1514,1514
3071.96,2268.15,,0.523,11.525,0.37,1078,1514,1514
3147.26,2563.08,,0.197,10.188,0.401,580,1514,440
3392.82,2463.52,,0.551,15.286,7.271,78,1514,1291
2943.1,2247.95,,0.038,0.208,19.535,78,1514,985
3015.59,1995.84,,0.368,2.26,10.166,1514,1514,1514
2375.18,2237.94,,0.199,0.612,0.568,1514,1514,1506
1458.14,3176.78,,0.202,0.042,29.519,718,1514,1514
2397.11,1513.68,,0.093,44.886,0.92,1265,808,1514
2402.24,2479.21,,11.7,32.467,0.249,1078,128,780
1999.47,2702.26,,3.894,4.899,25.44,922,116,985
1981.19,2584.1,,15.491,0.56,33.629,1514,1514,1514
